"Dummy header, was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,0,0,"bypass"," ","bypass","bypass","bypass","no"," "," ",0
2,19,1,"BL02I-PS-STRCL-02:CR1:M19:S1","OH1 FE02I-PS-SHTR-02","OPTICS SHUTTER","CLOSED","dup","no"," "," ",1
3,19,2,"BL02I-PS-STRCL-02:CR1:M19:S2","OH1 FE02I-PS-SHTR-02","OPTICS SHUTTER","CLOSED","dup","no"," "," ",2
4,15,1,"BL02I-PS-PKPE-01:CR1:M15:S1"," ","G BEAMLINE","ENABLED","dup","no"," "," ",3
5,15,2,"BL02I-PS-PKPE-01:CR1:M15:S2"," ","G BEAMLINE","ENABLED","dup","no"," "," ",4
6,21,3,"BL02I-PS-TRIP-03:CR1:M21:S3","G LOP 16","PORT TRIP","LATCH","serial","no"," ","now",5
7,21,4,"BL02I-PS-RADIN-01:CR1:M21:S4","OH1 RADIATION","MONITOR LEVELS","INSTANT. TRIP","serial","no"," ","now",6
8,21,0,"BL02I-PS-IOC-01","LOP 13 G PERMIT 3","FE02I-PS-SHTR-01","PORT SHUTTER","lop","no"," "," ",7
9,0,0,"bypass"," ","bypass","bypass","bypass","no"," "," ",0
10,20,1,"BL02I-PS-STRCL-01:CR1:M20:S1","EH1EH2 BL02I SHTR 01","EXPERIMENT","SHUTTER CLOSED","serial","no"," "," ",9
11,20,2,"BL02I-PS-HUEN-01:CR1:M20:S2"," ","OH1 OPTICS HUTCH","ENABLED","serial","yes","BL02I-PS-opticsHutchEnabled.edl"," ",10
12,20,0,"BL02I-PS-IOC-01"," ","G LOP 16","HUTCHES SAFE","lop","yes"," "," ",11
13,16,3,"BL02I-PS-HUEN-03:CR1:M16:S3","BL02I-PS-RACK-02","EH2 EXPERIMENT","HUTCH ENABLED","dup","no","BL02I-PS-experimentHutch2Enabled.edl"," ",0
14,16,4,"BL02I-PS-HUEN-03:CR1:M16:S4","BL02I-PS-RACK-02","EH2 EXPERIMENT","HUTCH ENABLED","dup","no","BL02I-PS-experimentHutch2Enabled.edl"," ",13
15,20,3,"BL02I-PS-HUEN-02:CR1:M20:S3"," ","EH1 EXPERIMENT","HUTCH ENABLED","serial","no","BL02I-PS-experimentHutchEnabled.edl"," ",14
16,20,4,"BL02I-PS-HUEN-01:CR1:M20:S4"," ","OH1 OPTICS HUTCH","ENABLED","serial","yes","BL02I-PS-opticsHutchEnabled.edl"," ",15
17,0,15,"gap","gap","gap","gap","gap","no"," "," ",11
18,0,0,"24v","24v","24v","24v","24v","no"," "," ",17
19,22,3,"BL02I-PS-TRIP-04:CR1:M22:S3","G PORT SHUTTER","CLOSED OR","HUTCHES SAFE","serial","no"," ","now",18
20,22,4,"BL02I-PS-RADTI-01:CR1:M22:S4","OH1 RADIATION","MONITOR LEVELS","TIMED TRIP","serial","no"," ","now",19
21,22,0,"BL02I-PS-IOC-01","LOP 14 G PERMIT 4","STORAGE RING","BEAM ON","lop","yes"," "," ",20
22,0,15,"gap","gap","gap","gap","gap","no"," "," ",16
23,19,3,"BL02I-PS-STRCL-03:CR1:M19:S3","G FE02I-PS-SHTR-01","PORT SHUTTER","CLOSED","dup","no"," "," ",22
24,19,4,"BL02I-PS-STRCL-03:CR1:M19:S4","G FE02I-PS-SHTR-01","PORT SHUTTER","CLOSED","dup","no"," "," ",23
