"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,4,1,"BL02J-PS-HUSA-01:CR1:M04:S1","BL02J-PS-RACK-02","EH1 BL02J-PS-IOC-02","LOP 16 HUTCHES SAFE","dup","no"," "," ",0
2,4,2,"BL02J-PS-HUSA-02:CR1:M04:S2","BL02J-PS-RACK-02","EH1 BL02J-PS-IOC-02","LOP 16 HUTCHES SAFE","dup","no"," "," ",1
3,19,1,"BL02J-PS-STRCL-02:CR1:M19:S1","OH1OH2","FE02J-PS-SHTR-02","OPTICS SHTR CLOSED","dup","no"," "," ",2
4,19,2,"BL02J-PS-STRCL-02:CR1:M19:S2","OH1OH2","FE02J-PS-SHTR-02","OPTICS SHTR CLOSED","dup","no"," "," ",3
5,15,1,"BL02J-PS-PKPE-01:CR1:M15:S1"," ","G BEAMLINE","ENABLED","dup","no"," "," ",4
6,15,2,"BL02J-PS-PKPE-01:CR1:M15:S2"," ","G BEAMLINE","ENABLED","dup","no"," "," ",5
7,21,3,"BL02J-PS-TRIP-03:CR1:M21:S3","G LOP 16","PORT TRIP","LATCH","serial","no"," ","now",6
8,21,4,"BL02J-PS-RADIN-01:CR1:M21:S4","OH1 RADIATION","MONITOR LEVELS","INSTANT. TRIP","serial","no"," ","now",7
9,21,0,"BL02J-PS-IOC-01","LOP 13 G PERMIT 3","FE02J-PS-SHTR-01","PORT SHUTTER","lop","no"," "," ",8
10,20,3,"BL02J-PS-HUEN-02:CR1:M20:S3"," ","OH2 OPTICS HUTCH","ENABLED","serial","no","BL02J-PS-opticsHutch2Enabled.edl"," ",2
11,20,4,"BL02J-PS-HUEN-01:CR1:M20:S4"," ","OH1 OPTICS HUTCH","ENABLED","serial","yes","BL02J-PS-opticsHutch1Enabled.edl"," ",10
12,20,0,"BL02J-PS-IOC-01"," ","LOP 16 G","HUTCHES SAFE","lop","yes"," "," ",4
13,2,15,"gap","gap","gap","gap","gap","no"," "," ",11
14,0,0,"24v","24v","24v","24v","24v","no"," "," ",13
15,22,3,"BL02J-PS-TRIP-04:CR1:M22:S3","G PORT SHUTTER","CLOSED OR","HUTCHES SAFE","serial","no"," ","now",14
16,22,4,"BL02J-PS-RADTI-01:CR1:M22:S4","OH1 RADIATION","MONITOR LEVELS","TIMED TRIP","serial","no"," ","now",15
17,22,0,"BL02J-PS-IOC-01","LOP 14 G PERMIT 4","STORAGE RING","BEAM ON","lop","yes"," "," ",16
18,17,-15,"gap","gap","gap","gap","gap","no"," "," ",1
19,19,3,"BL02J-PS-STRCL-03:CR1:M19:S3","G FE02J-PS-SHTR-01","PORT SHUTTER","CLOSED","dup","no"," "," ",18
20,19,4,"BL02J-PS-STRCL-03:CR1:M19:S4","G FE02J-PS-SHTR-01","PORT SHUTTER","CLOSED","dup","no"," "," ",19
