"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,18,1,"BL02J-PS-BOBIO-02:CR1:M18:S1","OH2","BEAM OFF  BUTTON","INDICATORS OK","serial","no"," "," ",0
2,18,2,"BL02J-PS-GADL-02:CR1:M18:S2","OH2","GENERAL ACCESS","DOOR LOCKED","serial","no"," "," ",1
3,18,3,"BL02J-PS-STIND-02:CR1:M18:S3"," ","OH2 STANDBY","INDICATORS OK","serial","no"," "," ",2
4,18,4,"BL02J-PS-BOIND-02:CR1:M18:S4"," ","OH2 BEAM ON","INDICATORS OK","serial","no"," "," ",3
5,21,1,"BL02J-PS-TRIP-02:CR1:M21:S1","OH2 LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",4
6,21,2,"BL02J-PS-TRIP-02:CR1:M21:S2","OH2 LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",5
7,17,3,"BL02J-PS-HUEN-02:CR1:M17:S3","OH2","OPTICS HUTCH","ENABLED","dup","no","BL02J-PS-opticsHutch2Enabled.edl"," ",6
8,17,4,"BL02J-PS-HUEN-02:CR1:M17:S4","OH2","OPTICS HUTCH","ENABLED","dup","no","BL02J-PS-opticsHutch2Enabled.edl"," ",7
9,17,0,"BL02J-PS-IOC-01","LOP 11 OH2 PERMIT 2","OPTICS SHUTTER","FE02J-PS-SHTR-02","lop","no"," "," ",8
10,18,0,"BL02J-PS-IOC-01","LOP 15","OH2 MEDIUM","LEVEL HEALTHY","lop","no"," "," ",4
