"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,2,1,"BL02J-PS-RIHL-01:CR1:M02:S1","OH1 RESTRICTED","INDICATOR","HEALTHY LATCH","serial","no"," "," ",0
2,2,2,"BL02J-PS-ASB-01:CR1:M02:S2"," ","OH1 SEARCH","POINT 1 LATCH","serial","no"," "," ",1
3,2,3,"BL02J-PS-DS-04:CR1:M02:S3"," ","OH1 SEARCH GATE","CLOSED LATCH","dup","no"," "," ",2
4,2,4,"BL02J-PS-DS-04:CR1:M02:S4"," ","OH1 SEARCH GATE","CLOSED LATCH","dup","no"," "," ",3
5,1,3,"BL02J-PS-ASB-02:CR1:M01:S3"," ","OH1 SEARCH","POINT 2 LATCH","serial","no"," "," ",4
6,1,4,"BL02J-PS-ASBF-01:CR1:M01:S4","OH1 LAST AREA","SEARCH POINT","LATCH","serial","no"," "," ",5
7,3,3,"BL02J-PS-SCDEO-01:CR1:M03:S3","OH1 SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",6
8,3,4,"BL02J-PS-SCDEO-01:CR1:M03:S4","OH1 SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",7
9,3,0,"BL02J-PS-IOC-01","LOP 4","OH1 HUTCH","SEARCHED & CLOSED","lop","no"," "," ",8
10,2,0,"BL02J-PS-IOC-01","LOP 12 OH1 SEARCH","GATE CLOSED ONCE","BL02J-PS-DS-04","lop","no"," "," ",4
11,1,0,"BL02J-PS-IOC-01","LOP 3","OH1 SEARCH","COMPLETE","lop","no"," "," ",6
