"Dummy header, was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,1,"BL04I-PS-PKPE-01:CR1:M16:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,16,2,"BL04I-PS-PKP-01:CR1:M16:S2"," ","OH1 OPTICS HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,3,"BL04I-PS-BOBDR-01:CR1:M06:S3","OH1 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,4,"BL04I-PS-BOBDR-01:CR1:M06:S4","OH1 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,5,1,"BL04I-PS-SADC-01:CR1:M05:S1","OH1","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",4
6,5,2,"BL04I-PS-SADC-01:CR1:M05:S2","OH1","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",5
7,4,1,"BL04I-PS-NSCOM-01:CR1:M04:S1"," ","OH1 NOT SEARCH","COMPLETE","serial","no"," "," ",4
8,4,2,"BL04I-PS-NLSD-01:CR1:M04:S2","OH1 NOT LOCK","SERVICE ACCESS","DOOR","serial","yes"," "," ",7
9,5,3,"BL04I-PS-GADC-01:CR1:M05:S3","OH1 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",8
10,5,4,"BL04I-PS-GADC-01:CR1:M05:S4","OH1 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",9
11,4,3,"BL04I-PS-HSC-01:CR1:M04:S3","OH1 HUTCH","SEARCHED &","CLOSED","dup","no","BL04I-PS-opticsHutchClosed.edl"," ",10
12,4,4,"BL04I-PS-HSC-01:CR1:M04:S4","OH1 HUTCH","SEARCHED &","CLOSED","dup","no","BL04I-PS-opticsHutchClosed.edl"," ",11
13,4,0,"BL04I-PS-IOC-01","LOP 5","OH1 OPTICS","HUTCH ENABLED","lop","no"," "," ",12
14,3,1,"BL04I-PS-STIM-01:CR1:M03:S1"," ","OH1 SEARCH","TIMER","serial","no"," "," ",8
15,3,2,"BL04I-PS-NSCOM-01:CR1:M03:S2"," ","OH1 NOT SEARCH","COMPLETE","serial","yes"," "," ",14
16,5,0,"BL04I-PS-IOC-01","LOP 1","OH1","INTERLOCKS SET","lop","no"," "," ",15
