"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,19,1,"BL04J-PS-STRCL-03:CR1:M19:S1","BL04I OH1","FE04I-PS-SHTR-02","OPTICS SHTR. CLOSED","dup","no"," "," ",0
2,19,2,"BL04J-PS-STRCL-03:CR1:M19:S2","BL04I OH1","FE04I-PS-SHTR-02","OPTICS SHTR. CLOSED","dup","no"," "," ",1
3,0,0,"bypass"," ","bypass","bypass","bypass","no"," "," ",2
4,20,1,"BL04J-PS-HUEN-03:CR1:M20:S1","BL04I","OH1 OPTICS HUTCH","ENABLED","dup","no","BL04I-PS-opticsHutchEnabled.edl"," ",0
5,20,2,"BL04J-PS-HUEN-03:CR1:M20:S2","BL04I","OH1 OPTICS HUTCH","ENABLED","dup","no","BL04I-PS-opticsHutchEnabled.edl"," ",4
6,20,3,"BL04J-PS-STRCL-02:CR1:M20:S3","OH1 BL04J-PS-SHTR-01","OPTICS SHUTTER","CLOSED","dup","no"," "," ",5
7,20,4,"BL04J-PS-STRCL-02:CR1:M20:S4","OH1 BL04J-PS-SHTR-01","OPTICS SHUTTER","CLOSED","dup","yes"," "," ",6
8,19,3,"BL04J-PS-HUEN-01:CR1:M19:S3"," ","OH1 OPTICS HUTCH","ENABLED","serial","no","BL04J-PS-opticsHutchEnabled.edl"," ",5
9,19,4,"BL04J-PS-STRCL-01:CR1:M19:S4","EH1 BL04J-PS-SHTR-02","EXPERIMENT","SHUTTER CLOSED","serial","yes"," "," ",8
10,15,1,"BL04J-PS-HUEN-01:CR1:M15:S1"," ","OH1 OPTICS HUTCH","ENABLED","serial","no","BL04J-PS-opticsHutchEnabled.edl"," ",5
11,15,2,"BL04J-PS-HUEN-02:CR1:M15:S2"," ","EH1 EXPERIMENT","HUTCH ENABLED","serial","yes","BL04J-PS-experimentHutchEnabled.edl"," ",10
12,21,3,"BL04J-PS-TRIP-03:CR1:M21:S3","G LOP 16","PORT TRIP","LATCH","dup","no"," ","now",3
13,21,4,"BL04J-PS-TRIP-03:CR1:M21:S4","G LOP 16","PORT TRIP","LATCH","dup","no"," ","now",12
14,21,0,"BL04J-PS-IOC-01","LOP 13 G PERMIT 3","FE04I-PS-SHTR-01","PORT SHUTTER","lop","no"," "," ",13
15,20,0,"BL04J-PS-IOC-01"," ","G LOP 16","HUTCHES SAFE","lop","yes"," "," ",3
16,0,2,"gap","gap","gap","gap","gap","no"," "," ",9
17,0,0,"24v","24v","24v","24v","24v","no"," "," ",16
18,22,3,"BL04J-PS-TRIP-04:CR1:M22:S3","G PORT SHUTTER","CLOSED OR","HUTCHES SAFE","dup","no"," ","now",17
19,22,4,"BL04J-PS-TRIP-04:CR1:M22:S4","G PORT SHUTTER","CLOSED OR","HUTCHES SAFE","dup","no"," ","now",18
20,22,0,"BL04J-PS-IOC-01","LOP 14 G PERMIT 4","STORAGE RING","BEAM ON","lop","yes"," "," ",19
