"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,10,1,"BL07B-PS-STRCL-04:CR1:M10:S1","BL07B FE PORT","SHUTTER NOT CLOSED","FE07B-PS-SHTR-01","dup","no"," "," ",0
2,10,2,"BL07B-PS-STRCL-04:CR1:M10:S2","BL07B FE PORT","SHUTTER NOT CLOSED","FE07B-PS-SHTR-01","dup","no"," "," ",1
3,10,3,"BL07B-PS-CAEN-01:CR1:M10:S3","BL07B OC","OPTICS","AREA ENABLED","dup","no","BL07B-PS-BShutters.edl"," ",2
4,10,4,"BL07B-PS-CAEN-01:CR1:M10:S4","BL07B OC","OPTICS","AREA ENABLED","dup","no","BL07B-PS-BShutters.edl"," ",3
5,11,3,"BL07B-PS-CAEN-02:CR1:M11:S3","BL07B EC","EXPERIMENT","AREA ENABLED","dup","no","BL07B-PS-BShutters.edl"," ",4
6,11,4,"BL07B-PS-CAEN-02:CR1:M11:S4","BL07B EC","EXPERIMENT","AREA ENABLED","dup","no","BL07B-PS-BShutters.edl"," ",5
7,11,0,"BL07B-PS-IOC-01","LOP 10 BL07B EC","SWITCH ON BEAM","ON INDICATORS","lop","no"," "," ",6
8,10,0,"BL07B-PS-IOC-01","LOP 9 BL07B OC","SWITCH ON BEAM","ON INDICATORS","lop","no"," "," ",4
9,1,0,"bypass"," ","bypass","bypass","bypass","no"," "," ",2
10,12,3,"BL07C-PS-CAEN-01:CR1:M12:S3","BL07C OC","OPTICS","AREA ENABLED","dup","no","BL07B-PS-CShutters.edl"," ",2
11,12,4,"BL07C-PS-CAEN-01:CR1:M12:S4","BL07C OC","OPTICS","AREA ENABLED","dup","no","BL07B-PS-CShutters.edl"," ",10
12,13,3,"BL07C-PS-CAEN-02:CR1:M13:S3","BL07C EC","EXPERIMENT","AREA ENABLED","dup","no","BL07B-PS-CShutters.edl"," ",11
13,13,4,"BL07C-PS-CAEN-02:CR1:M13:S4","BL07C EC","EXPERIMENT","AREA ENABLED","dup","no","BL07B-PS-CShutters.edl"," ",12
14,13,0,"BL07B-PS-IOC-01","LOP 12 BL07C EC","SWITCH ON BEAM","ON INDICATORS","lop","no"," "," ",13
15,12,0,"BL07B-PS-IOC-01","LOP 11 BL07C OC","SWITCH ON BEAM","ON INDICATORS","lop","no"," "," ",11
