"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,5,3,"BL07B-PS-PKP-01:CR1:M05:S3"," "," ","BL07B OPERATIONAL","dup","no"," "," ",0
2,5,4,"BL07B-PS-PKP-01:CR1:M05:S4"," "," ","BL07B OPERATIONAL","dup","no"," "," ",1
3,1,1,"BL07B-PS-VACOK-01:CR1:M01:S1"," ","BL07B OC VACUUM","SWITCHES OK","serial","no"," "," ",2
4,1,2,"BL07B-PS-VACOK-02:CR1:M01:S2"," ","BL07B OC VACUUM","SWITCHES OK","serial","no"," "," ",3
5,1,3,"BL07B-PS-VACOK-03:CR1:M01:S3"," ","BL07B OC VACUUM","SWITCHES OK","serial","no"," "," ",4
6,1,4,"BL07B-PS-VACOK-04:CR1:M01:S4"," ","BL07B OC VACUUM","SWITCHES OK","serial","no"," "," ",5
7,0,1,"bypass"," ","bypass","bypass","bypass","no"," "," ",6
8,2,1,"BL07B-PS-BODEL-01:CR1:M02:S1","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",7
9,2,2,"BL07B-PS-BODEL-01:CR1:M02:S2","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",8
10,2,3,"BL07B-PS-BOIND-01:CR1:M02:S3"," ","BL07B OC BEAM ON","INDICATORS OK","dup","no"," "," ",7
11,2,4,"BL07B-PS-BOIND-01:CR1:M02:S4"," ","BL07B OC BEAM ON","INDICATORS OK","dup","yes"," "," ",10
12,1,0,"BL07B-PS-IOC-01","LOP 1 BL07B OC","OPTICS AREA","ENABLED","lop","yes"," "," ",6
13,2,0,"BL07B-PS-IOC-01","LOP 2 BL07B OC PRMT 1","FE07B-PS-SHTR-02","OPTICS SHUTTER","lop","yes"," "," ",9
14,0,-1,"bypass"," ","bypass","bypass","bypass","no"," "," ",2
15,3,1,"BL07B-PS-VACOK-05:CR1:M03:S1"," ","BL07B EC VACUUM","SWITCHES OK","serial","no"," "," ",14
16,3,2,"BL07B-PS-VACOK-06:CR1:M03:S2"," ","BL07B EC VACUUM","SWITCHES OK","serial","no"," "," ",15
17,3,3,"BL07B-PS-VACOK-07:CR1:M03:S3"," ","BL07B EC VACUUM","SWITCHES OK","dup","no"," "," ",16
18,3,4,"BL07B-PS-VACOK-07:CR1:M03:S4"," ","BL07B EC VACUUM","SWITCHES OK","dup","no"," "," ",17
19,19,3,"BL07B-PS-CCLSD-01:CR1:M03:S3","BL07B EC","SHIELD COVER","CLOSED","serial","no"," "," ",18
20,19,4,"BL07B-PS-CLCKD-01:CR1:M03:S4","BL07B EC","SHIELD COVER","LOCKED","serial","no"," "," ",19
21,0,1,"bypass"," ","bypass","bypass","bypass","no"," "," ",20
22,17,3,"BL07B-PS-BODEL-01:CR1:M17:S3","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",21
23,17,4,"BL07B-PS-BODEL-01:CR1:M17:S4","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",22
24,4,3,"BL07B-PS-BOIND-02:CR1:M04:S3"," ","BL07B EC BEAM ON","INDICATORS OK","dup","no"," "," ",21
25,4,4,"BL07B-PS-BOIND-02:CR1:M04:S4"," ","BL07B EC BEAM ON","INDICATORS OK","dup","yes"," "," ",24
26,19,0,"BL07B-PS-IOC-01","LOP 3 BL07B EC","EXPERIMENT","AREA ENABLED","lop","yes"," "," ",20
27,4,0,"BL07B-PS-IOC-01","LOP 4 BL07B EC PRMT 2","BL07B-PS-SHTR-01","EXPERIMENT SHUTTER","lop","yes"," "," ",23
