"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,3,"BL07C-PS-PKP-01:CR1:M16:S3"," "," ","BL07C OPERATIONAL","dup","no"," "," ",0
2,16,4,"BL07C-PS-PKP-01:CR1:M16:S4"," "," ","BL07C OPERATIONAL","dup","no"," "," ",1
3,6,1,"BL07B-PS-VACOK-01:CR1:M06:S1"," ","BL07B OC VACUUM","SWITCHES OK","serial","no"," "," ",2
4,6,2,"BL07B-PS-VACOK-02:CR1:M06:S2"," ","BL07B OC VACUUM","SWITCHES OK","serial","no"," "," ",3
5,6,3,"BL07C-PS-VACOK-01:CR1:M06:S3"," ","BL07C OC VACUUM","SWITCHES OK","serial","no"," "," ",4
6,6,4,"BL07C-PS-VACOK-02:CR1:M06:S4"," ","BL07C OC VACUUM","SWITCHES OK","serial","no"," "," ",5
7,7,1,"BL07B-PS-BODEL-01:CR1:M07:S1","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",6
8,7,2,"BL07B-PS-BODEL-01:CR1:M07:S2","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",7
9,7,3,"BL07C-PS-BOIND-01:CR1:M07:S3"," ","BL07C OC BEAM ON","INDICATORS OK","dup","no"," "," ",6
10,7,4,"BL07C-PS-BOIND-01:CR1:M07:S4"," ","BL07C OC BEAM ON","INDICATORS OK","dup","yes"," "," ",9
11,6,0,"BL07B-PS-IOC-01","LOP 5 BL07C OC","OPTICS AREA","ENABLED","lop","no"," "," ",6
12,7,0,"BL07B-PS-IOC-01","LOP 6 BL07C OC PRMT 3","FE07C-PS-SHTR-02","OPTICS SHUTTER","lop","yes"," "," ",8
13,1,0,"bypass"," ","bypass","bypass","bypass","no"," "," ",2
14,8,1,"BL07C-PS-VACOK-03:CR1:M08:S1"," ","BL07C EC VACUUM","SWITCHES OK","serial","no"," "," ",13
15,8,2,"BL07C-PS-VACOK-04:CR1:M08:S2"," ","BL07C EC VACUUM","SWITCHES OK","serial","no"," "," ",14
16,8,3,"BL07C-PS-VACOK-05:CR1:M08:S3"," ","BL07C EC VACUUM","SWITCHES OK","dup","no"," "," ",15
17,8,4,"BL07C-PS-VACOK-05:CR1:M08:S4"," ","BL07C EC VACUUM","SWITCHES OK","dup","no"," "," ",16
18,18,3,"BL07B-PS-BODEL-01:CR1:M18:S3","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",17
19,18,4,"BL07B-PS-BODEL-01:CR1:M18:S4","G BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",18
20,9,3,"BL07C-PS-BOIND-02:CR1:M09:S3"," ","BL07C EC BEAM ON","INDICATORS OK","dup","no"," "," ",17
21,9,4,"BL07C-PS-BOIND-02:CR1:M09:S4"," ","BL07C EC BEAM ON","INDICATORS OK","dup","yes"," "," ",20
22,8,0,"BL07B-PS-IOC-01","LOP 7 BL07C EC","EXPERIMENT","AREA ENABLED","lop","no"," "," ",17
23,9,0,"BL07B-PS-IOC-01","LOP 8 BL07C EC PRMT 4","BL07C-PS-SHTR-01","EXPERIMENT SHUTTER","lop","yes"," "," ",19
