"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"gap","gap","gap","gap","gap","no"," "," ",0
1,5,1,"BL07B-PS-BOIA-01:CR1:M05:S1","BL07B OC","BEAM ON","INDICATORS ALARM","serial","no"," "," ",0
2,0,0,"gap","gap","gap","gap","gap","no"," "," ",1
3,5,2,"BL07B-PS-BOIA-02:CR1:M05:S2","BL07B EC","BEAM ON","INDICATORS ALARM","serial","no"," "," ",2
4,0,0,"gap","gap","gap","gap","gap","no"," "," ",3
5,4,1,"BL07B-PS-J3PI-01:CR1:M04:S1","BL07B FE","FE07B-PS-SHTR-02","J3 PLUGGED IN","serial","no"," "," ",4
6,0,0,"gap","gap","gap","gap","gap","no"," "," ",5
7,4,2,"BL07B-PS-J3DIS-01:CR1:M04:S2","BL07B OC BL07B SHTR-","01. J3 PLUGGED IN & G","BL PSS NOT DISCONN.","serial","no"," "," ",6
8,0,0,"gap","gap","gap","gap","gap","no"," "," ",7
9,9,1,"BL07C-PS-BOIA-01:CR1:M09:S1","BL07C OC","BEAM ON","INDICATORS ALARM","serial","no"," "," ",8
10,0,0,"gap","gap","gap","gap","gap","no"," "," ",9
11,9,2,"BL07C-PS-BOIA-02:CR1:M09:S2","BL07C EC","BEAM ON","INDICATORS ALARM","serial","no"," "," ",10
12,0,0,"gap","gap","gap","gap","gap","no"," "," ",11
13,19,1,"BL07C-PS-J3PI-01:CR1:M19:S1","BL07C FE","FE07C-PS-SHTR-02","J3 PLUGGED IN","serial","no"," "," ",12
14,0,0,"gap","gap","gap","gap","gap","no"," "," ",13
15,19,2,"BL07C-PS-J3PI-02:CR1:M19:S2","BL07C EC","BL07C-PS-SHTR-01","J3 PLUGGED IN","serial","no"," "," ",14
