"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,11,1,"BL07B-PS-STRCL-02:CR1:M11:S1","BL07B OC OPTICS","SHUTTER CLOSED","FE07B-PS-SHTR-02","dup","no"," "," ",0
2,11,2,"BL07B-PS-STRCL-02:CR1:M11:S2","BL07B OC OPTICS","SHUTTER CLOSED","FE07B-PS-SHTR-02","dup","no"," "," ",1
3,13,1,"BL07B-PS-STRCL-01:CR1:M13:S1","BL07B EC EXPERIMENT","SHUTTER CLOSED","BL07B-PS-SHTR-01","dup","no"," "," ",2
4,13,2,"BL07B-PS-STRCL-01:CR1:M13:S2","BL07B EC EXPERIMENT","SHUTTER CLOSED","BL07B-PS-SHTR-01","dup","no"," "," ",3
5,16,1,"BL07C-PS-STRCL-02:CR1:M16:S1","BL07C OC OPTICS","SHUTTER CLOSED","FE07C-PS-SHTR-02","dup","no"," "," ",4
6,16,2,"BL07C-PS-STRCL-02:CR1:M16:S2","BL07C OC OPTICS","SHUTTER CLOSED","FE07C-PS-SHTR-02","dup","no"," "," ",5
7,18,1,"BL07C-PS-STRCL-01:CR1:M18:S1","BL07C EC EXPERIMENT","SHUTTER CLOSED","BL07C-PS-SHTR-01","dup","no"," "," ",6
8,18,2,"BL07C-PS-STRCL-01:CR1:M18:S2","BL07C EC EXPERIMENT","SHUTTER CLOSED","BL07C-PS-SHTR-01","dup","no"," "," ",7
9,21,3,"BL07B-PS-TRIP-01:CR1:M21:S3"," ","G ALL AREAS SAFE","PORT TRIP LATCH","dup","no"," ","now",8
10,21,4,"BL07B-PS-TRIP-01:CR1:M21:S4"," ","G ALL AREAS SAFE","PORT TRIP LATCH","dup","no"," ","now",9
11,21,0,"BL07B-PS-IOC-01","LOP 13 PERMIT 5","G PORT SHUTTER","FE07B-PS-SHTR-01","lop","no"," "," ",10
12,12,1,"BL07B-PS-PMIT-01:CR1:M12:S1","LOP 2 PERMIT 1","BL07B OC","OPTICS SHUTTER","dup","no","BL07B-PS-BShutters.edl"," ",0
13,12,2,"BL07B-PS-PMIT-01:CR1:M12:S2","LOP 2 PERMIT 1","BL07B OC","OPTICS SHUTTER","dup","yes","BL07B-PS-BShutters.edl"," ",12
14,15,1,"BL07B-PS-PMIT-02:CR1:M15:S1","LOP 4 PERMIT 2","BL07B EC","EXPERIMENT SHUTTER","dup","no","BL07B-PS-BShutters.edl"," ",13
15,15,2,"BL07B-PS-PMIT-02:CR1:M15:S2","LOP 4 PERMIT 2","BL07B EC","EXPERIMENT SHUTTER","dup","yes","BL07B-PS-BShutters.edl"," ",14
16,17,1,"BL07C-PS-PMIT-01:CR1:M17:S1","LOP 6 PERMIT 3","BL07C OC","OPTICS SHUTTER","dup","no","BL07B-PS-CShutters.edl"," ",15
17,17,2,"BL07C-PS-PMIT-01:CR1:M17:S2","LOP 6 PERMIT 3","BL07C OC","OPTICS SHUTTER","dup","yes","BL07B-PS-CShutters.edl"," ",16
18,15,3,"BL07C-PS-PMIT-02:CR1:M15:S3","LOP 8 PERMIT 4","BL07C EC","EXPERIMENT SHUTTER","dup","no","BL07B-PS-CShutters.edl"," ",17
19,15,4,"BL07C-PS-PMIT-02:CR1:M15:S4","LOP 8 PERMIT 4","BL07C EC","EXPERIMENT SHUTTER","dup","yes","BL07B-PS-CShutters.edl"," ",18
20,15,0,"BL07B-PS-IOC-01","LOP 16","G ALL","AREAS SAFE","lop","yes"," "," ",8
