"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,22,3,"BL07B-PS-TRIP-02:CR1:M22:S3"," ","G PORT SHUTTER OK","TRIP LATCH","dup","no"," ","now",0
2,22,4,"BL07B-PS-TRIP-02:CR1:M22:S4"," ","G PORT SHUTTER OK","TRIP LATCH","dup","no"," ","now",1
3,22,0,"BL07B-PS-IOC-01","LOP 14 G PERMIT 6","STORAGE RING","BEAM ON","lop","yes"," "," ",2
4,0,15,"gap","gap","gap","gap","gap","no"," "," ",3
5,0,0,"24v","24v","24v","24v","24v","no"," "," ",4
6,14,1,"BL07B-PS-STRCL-03:CR1:M14:S1"," ","G PORT","SHUTTER CLOSED","dup","no"," "," ",5
7,14,2,"BL07B-PS-STRCL-03:CR1:M14:S2"," ","G PORT","SHUTTER CLOSED","dup","no"," "," ",6
8,14,3,"BL07B-PS-PMIT-03:CR1:M14:S3"," ","LOP 13 PERMIT 5","G PORT SHUTTER","dup","no","BL07B-PS-globalShutter.edl"," ",5
9,14,4,"BL07B-PS-PMIT-03:CR1:M14:S4"," ","LOP 13 PERMIT 5","G PORT SHUTTER","dup","yes","BL07B-PS-globalShutter.edl"," ",8
10,14,0,"BL07B-PS-IOC-01"," ","LOP 15 G PORT","SHUTTER OK","lop","yes"," "," ",7
