"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,13,1,"BL09I-PS-RIHL-02:CR1:M13:S1","EH1 RESTRICTED","INDICATOR HEALTHY","LATCH","serial","no"," "," ",0
2,13,2,"BL09I-PS-ASB-03:CR1:M13:S2"," ","EH1 SEARCH","POINT 1 LATCH","serial","no"," "," ",1
3,13,3,"BL09I-PS-ASB-04:CR1:M13:S3"," ","EH1 SEARCH","POINT 2 LATCH","serial","no"," "," ",2
4,13,4,"BL09I-PS-DS-08:CR1:M13:S4"," ","EH1 SEARCH GATE","CLOSED LATCH","serial","no"," "," ",3
5,12,1,"BL09I-PS-ASB-05:CR1:M12:S1"," ","EH1 SEARCH","POINT 3 LATCH","dup","no"," "," ",4
6,12,2,"BL09I-PS-ASB-05:CR1:M12:S2"," ","EH1 SEARCH","POINT 3 LATCH","dup","no"," "," ",5
7,12,3,"BL09I-PS-ASBF-02:CR1:M12:S3"," ","EH1 LAST AREA","SEARCH POINT LATCH","dup","no"," "," ",6
8,12,4,"BL09I-PS-ASBF-02:CR1:M12:S4"," ","EH1 LAST AREA","SEARCH POINT LATCH","dup","no"," "," ",7
9,11,3,"BL09I-PS-SCDEO-02:CR1:M11:S3","EH1 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",8
10,11,4,"BL09I-PS-SCDEO-02:CR1:M11:S4","EH1 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",9
11,11,0,"BL09I-PS-IOC-01","EH1 LOP 9 HUTCH","SEARCHED &","CLOSED","lop","no"," "," ",10
12,12,0,"BL09I-PS-IOC-01"," ","EH1 LOP 8","SEARCH COMPLETE","lop","no"," "," ",8
