"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,17,1,"BL11I-PS-PKPE-01:CR2:M17:S1"," ","G BL11I-PS-RACK-01","BEAMLINE ENABLED","serial","no"," "," ",0
2,17,2,"BL11I-PS-PKP-03:CR2:M17:S2"," ","EH2 EXPERIMENT","HUTCH OPERATIONAL","serial","no"," "," ",1
3,6,1,"BL11I-PS-BOBDR-03:CR2:M06:S1","EH2 BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,2,"BL11I-PS-BOBDR-03:CR2:M06:S2","EH2 BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,16,3,"BL11I-PS-SADC-03:CR2:M16:S3","EH1EH2","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",4
6,16,4,"BL11I-PS-SADC-03:CR2:M16:S4","EH1EH2","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",5
7,10,1,"BL11I-PS-STIM-03:CR2:M10:S1"," "," ","EH2 SEARCH TIMER","serial","no"," "," ",6
8,10,2,"BL11I-PS-NSCOM-03:CR2:M10:S2"," ","EH2 NOT SEARCH","COMPLETE","serial","no"," "," ",7
9,14,3,"BL11I-PS-HSC-03:CR2:M14:S3","EH2 HUTCH","SEARCHED &","CLOSED","dup","no","BL11I-PS-experimentHutch2Closed.edl"," ",8
10,14,4,"BL11I-PS-HSC-03:CR2:M14:S4","EH2 HUTCH","SEARCHED &","CLOSED","dup","no","BL11I-PS-experimentHutch2Closed.edl"," ",9
11,14,0,"BL11I-PS-IOC-02","EH2 LOP 10","EXPERIMENT","HUTCH ENABLED","lop","no"," "," ",10
12,15,3,"BL11I-PS-GADC-03:CR2:M15:S3"," ","EH2 GENERAL ACCESS","DOOR CLOSED","dup","no"," "," ",6
13,15,4,"BL11I-PS-GADC-03:CR2:M15:S4"," ","EH2 GENERAL ACCESS","DOOR CLOSED","dup","yes"," "," ",12
14,15,0,"BL11I-PS-IOC-02"," ","EH2 LOP 7","INTERLOCKS SET","lop","no"," "," ",13
