"Dummy header, was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,13,1,"BL11K-PS-RIHL-02:CR1:M13:S1","EH1 RESTRICTED","INDICATOR","HEALTHY LATCH","serial","no"," "," ",0
2,13,2,"BL11K-PS-LCD-01:CR1:M13:S2","EH1","PERSON DETECTED","LATCH","serial","no"," "," ",1
3,13,3,"BL11K-PS-ASB-03:CR1:M13:S3","EH1","SEARCH POINT 1","LATCH","serial","no"," "," ",2
4,13,4,"BL11K-PS-ASB-04:CR1:M13:S4","EH1","SEARCH POINT 2"," LATCH","serial","no"," "," ",3
5,12,1,"BL11K-PS-ASB-05:CR1:M12:S1","EH1","SEARCH POINT 3","LATCH","serial","no"," "," ",4
6,12,2,"BL11K-PS-ASB-06:CR1:M12:S2","EH1","SEARCH POINT 4"," LATCH","serial","no"," "," ",5
7,12,3,"BL11K-PS-ASBF-02:CR1:M12:S3","EH1 LAST AREA","SEARCH POINT","LATCH","dup","no"," "," ",6
8,12,4,"BL11K-PS-ASBF-02:CR1:M12:S4","EH1 LAST AREA","SEARCH POINT","LATCH","dup","no"," "," ",7
9,11,3,"BL11K-PS-SCDEO-02:CR1:M11:S3","EH1 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",8
10,11,4,"BL11K-PS-SCDEO-02:CR1:M11:S4","EH1 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",9
11,11,0,"BL11K-PS-IOC-01","LOP 9","EH1 HUTCH","SEARCHED & CLOSED","lop","no"," "," ",10
12,12,0,"BL11K-PS-IOC-01","LOP 8","EH1","SEARCH COMPLETE","lop","no"," "," ",8
