"Dummy header, was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,17,1,"BL12I-PS-PKPE-01:CR1:M17:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,17,2,"BL12I-PS-PKP-02:CR1:M17:S2","SS","EXPERIMENT HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,1,"BL12I-PS-BOBDR-02:CR1:M06:S1","SS BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,2,"BL12I-PS-BOBDR-02:CR1:M06:S2","SS BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,10,1,"BL12I-PS-STIM-02:CR1:M10:S1"," ","SS","SEARCH TIMER","serial","no"," "," ",4
6,10,2,"BL12I-PS-NSCOM-02:CR1:M10:S2"," ","SS NOT SEARCH","COMPLETE","serial","no","BL12I-PS-sideStationHutchClosed.edl"," ",5
7,14,3,"BL12I-PS-HSC-02:CR1:M14:S3","SS HUTCH","SEARCHED &","CLOSED","dup","no","BL12I-PS-sideStationHutchClosed.edl"," ",6
8,14,4,"BL12I-PS-HSC-02:CR1:M14:S4","SS HUTCH","SEARCHED &","CLOSED","dup","no","BL12I-PS-sideStationHutchClosed.edl "," ",7
9,14,0,"BL12I-PS-IOC-01","LOP 10","SS SIDE STATION","ENABLED","lop","no"," "," ",8
10,15,3,"BL12I-PS-GADC-02:CR1:M15:S3","SS","GENERAL ACCESS","DOOR CLOSED","dup","no"," "," ",4
11,15,4,"BL12I-PS-GADC-02:CR1:M15:S4","SS","GENERAL ACCESS","DOOR CLOSED","dup","yes"," "," ",10
12,15,0,"BL12I-PS-IOC-01","LOP 7","SS","INTERLOCKS SET","lop","no"," "," ",11
