"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,4,1,"BL12I-PS-VACOK-01:CR1:M04:S1"," ","SSOH2","VACUUM SWITCHES OK","dup","no"," "," ",0
2,4,2,"BL12I-PS-VACOK-01:CR1:M04:S2"," ","SSOH2","VACUUM SWITCHES OK","dup","no"," "," ",1
3,18,1,"BL12I-PS-BOBIO-02:CR1:M18:S1","SS","BEAM OFF BUTTON","INDICATORS OK","serial","no"," "," ",2
4,18,2,"BL12I-PS-GADL-02:CR1:M18:S2","SS","GENERAL ACCESS","DOOR LOCKED","serial","no"," "," ",3
5,18,3,"BL12I-PS-STIND-02:CR1:M18:S3"," ","SS STANDBY","INDICATORS OK","serial","no"," "," ",4
6,18,4,"BL12I-PS-BOIND-02:CR1:M18:S4"," ","SS BEAM ON","INDICATORS OK","serial","no"," "," ",5
7,18,0,"BL12I-PS-IOC-01","LOP 15","SS MEDIUM","LEVEL HEALTHY","lop","yes"," "," ",6
8,21,1,"BL12I-PS-TRIP-02:CR1:M21:S1","SS LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",7
9,21,2,"BL12I-PS-TRIP-02:CR1:M21:S2","SS LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",8
10,17,3,"BL12I-PS-PERM-02:CR1:M17:S3","OH2 BL12I-PS-IOC-02","LOP 6 PERMIT 1 OPTICS","SHTR BL12I-PS-SHTR-01","serial","no","BL12I-PS-optics2Shutter.edl"," ",9
11,17,4,"BL12I-PS-HUEN-02:CR1:M17:S4"," ","SS SIDE STATION","ENABLED","serial","no","BL12I-PS-sideStationEnabled.edl"," ",10
12,17,0,"BL12I-PS-IOC-01","LOP11 SSOH2 PERMIT 2","BL12I-PS-SHTR-01","OPTICS SHUTTER","lop","no"," "," ",11
