"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,4,1,"BL12I-PS-HUSA-02:CR2:M04:S1","OH3EH2","BL12I-PS-IOC-03 LOP16","HUTCHES SAFE","dup","no","BL12I-PS-OH3EH2HutchesSafe.edl"," ",0
2,4,2,"BL12I-PS-HUSA-02:CR2:M04:S2","OH3EH2","BL12I-PS-IOC-03 LOP16","HUTCHES SAFE","dup","no","BL12I-PS-OH3EH2HutchesSafe.edl"," ",1
3,20,3,"BL12I-PS-STRCL-07:CR2:M20:S3","BL12I-PS-RACK-01","G FE12I-PS-SHTR-02 OR","BL12I-PS-SHTR-01 CLSD","dup","no"," "," ",2
4,20,4,"BL12I-PS-STRCL-07:CR2:M20:S4","BL12I-PS-RACK-01","G FE12I-PS-SHTR-02 OR","BL12I-PS-SHTR-01 CLSD","dup","no"," "," ",3
5,20,1,"BL12I-PS-STRCL-03:CR2:M20:S1","EH1 BL12I-PS-SHTR-02","EXPERIMENT SHUTTER","CLOSED","dup","no"," "," ",2
6,20,2,"BL12I-PS-STRCL-03:CR2:M20:S2","EH1 BL12I-PS-SHTR-02","EXPERIMENT SHUTTER","CLOSED","dup","yes"," "," ",5
7,15,1,"BL12I-PS-HUEN-04:CR2:M15:S1"," ","EH1 EXPERIMENT","HUTCH ENABLED","dup","no","BL12I-PS-experimentHutchEnabled.edl"," ",2
8,15,2,"BL12I-PS-HUEN-04:CR2:M15:S2"," ","EH1 EXPERIMENT","HUTCH ENABLED","dup","yes","BL12I-PS-experimentHutchEnabled.edl"," ",7
9,20,0,"BL12I-PS-IOC-02"," ","G LOP 16","HUTCHES SAFE","lop","yes"," "," ",4
