"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,17,1,"BL12I-PS-PKPE-01:CR2:M17:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,17,2,"BL12I-PS-PKP-04:CR2:M17:S2"," ","EH1 EXPERIMENT","HUTCH OPERATIONAL","serial","no"," "," ",1
3,6,1,"BL12I-PS-BOBDR-04:CR2:M06:S1","EH1 BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,2,"BL12I-PS-BOBDR-04:CR2:M06:S2","EH1 BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,16,3,"BL12I-PS-SADC-02:CR2:M16:S3"," ","EH1 SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",4
6,16,4,"BL12I-PS-SADC-02:CR2:M16:S4"," ","EH1 SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",5
7,10,1,"BL12I-PS-STIM-04:CR2:M10:S1"," "," ","EH1 SEARCH TIMER","serial","no"," "," ",6
8,10,2,"BL12I-PS-NSCOM-04:CR2:M10:S2"," ","EH1 NOT SEARCH","COMPLETE","serial","no","BL12I-PS-experimentHutchClosed.edl"," ",7
9,14,3,"BL12I-PS-HSC-04:CR2:M14:S3","EH1 HUTCH","SEARCHED &","CLOSED","dup","no","BL12I-PS-experimentHutchClosed.edl"," ",8
10,14,4,"BL12I-PS-HSC-04:CR2:M14:S4","EH1 HUTCH","SEARCHED &","CLOSED","dup","no","BL12I-PS-experimentHutchClosed.edl"," ",9
11,14,0,"BL12I-PS-IOC-02","EH1 LOP 10","EXPERIMENT","HUTCH ENABLED","lop","no"," "," ",10
12,15,3,"BL12I-PS-GADC-04:CR2:M15:S3"," ","EH1 GENERAL ACCESS","DOOR CLOSED","dup","no"," "," ",6
13,15,4,"BL12I-PS-GADC-04:CR2:M15:S4"," ","EH1 GENERAL ACCESS","DOOR CLOSED","dup","yes"," "," ",12
14,15,0,"BL12I-PS-IOC-02"," ","EH1 LOP 7","INTERLOCKS SET","lop","no"," "," ",13
