"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,20,3,"BL12I-PS-STRCL-08:CR3:M20:S3","G BL12I-PS-RACK-02","FE12I-PS-SHTR-02 OR","BL12I SHTR-01/02 CLSD","dup","no"," "," ",0
2,20,4,"BL12I-PS-STRCL-08:CR3:M20:S4","G BL12I-PS-RACK-02","FE12I-PS-SHTR-02 OR","BL12I SHTR-01/02 CLSD","dup","no"," "," ",1
3,20,1,"BL12I-PS-STRCL-02:CR3:M20:S1","OH3 BL12I-PS-SHTR-03","OPTICS SHUTTER","CLOSED","dup","no"," "," ",0
4,20,2,"BL12I-PS-STRCL-02:CR3:M20:S2","OH3 BL12I-PS-SHTR-03","OPTICS SHUTTER","CLOSED","dup","yes"," "," ",3
5,19,3,"BL12I-PS-HUEN-05:CR3:M19:S3"," ","OH3 OPTICS","HUTCH ENABLED","serial","no","BL12I-PS-opticsHutch3Enabled.edl"," ",0
6,19,4,"BL12I-PS-STRCL-01:CR3:M19:S4","EH2 BL12I-PS-SHTR-04","EXPERIMENT SHUTTER","CLOSED","serial","yes"," "," ",5
7,19,1,"BL12I-PS-HUEN-05:CR3:M19:S1"," ","OH3 OPTICS","HUTCH ENABLED","serial","no","BL12I-PS-opticsHutch3Enabled.edl"," ",0
8,19,2,"BL12I-PS-HUEN-06:CR3:M19:S2"," ","EH2 EXPERIMENT","HUTCH ENABLED","serial","yes","BL12I-PS-experimentHutch2Enabled.edl"," ",7
9,20,0,"BL12I-PS-IOC-03"," ","G LOP 16","HUTCHES SAFE","lop","yes"," "," ",2
