"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,4,1,"BL12I-PS-VACOK-02:CR3:M04:S1"," ","OH3","VACUUM SWITCHES OK","dup","no"," "," ",0
2,4,2,"BL12I-PS-VACOK-02:CR3:M04:S2"," ","OH3","VACUUM SWITCHES OK","dup","no"," "," ",1
3,10,3,"BL12I-PS-BOBIO-05:CR3:M10:S3","OH3","BEAM OFF  BUTTON","INDICATORS OK","serial","no"," "," ",2
4,10,4,"BL12I-PS-GADL-03:CR3:M10:S4","OH3","GENERAL ACCESS","DOOR LOCKED","serial","no"," "," ",3
5,9,1,"BL12I-PS-STIND-05:CR3:M09:S1"," ","OH3 STANDBY","INDICATORS OK","serial","no"," "," ",4
6,9,2,"BL12I-PS-BOIND-05:CR3:M09:S2"," ","OH3 BEAM ON","INDICATORS OK","serial","no"," "," ",5
7,8,1,"BL12I-PS-HUEN-06:CR3:M08:S1"," ","EH2 EXPERIMENT","HUTCH ENABLED","dup","no","BL12I-PS-experimentHutch2Enabled.edl"," ",6
8,8,2,"BL12I-PS-HUEN-06:CR3:M08:S2"," ","EH2 EXPERIMENT","HUTCH ENABLED","dup","no","BL12I-PS-experimentHutch2Enabled.edl"," ",7
9,8,3,"BL12I-PS-STRCL-01:CR3:M08:S3","EH2 BL12I-PS-SHTR-04","EXPERIMENT SHUTTER","CLOSED","dup","no"," "," ",6
10,8,4,"BL12I-PS-STRCL-01:CR3:M08:S4","EH2 BL12I-PS-SHTR-04","EXPERIMENT SHUTTER","CLOSED","dup","yes"," "," ",9
11,8,0,"BL12I-PS-IOC-03","OH3 LOP 2","MEDIUM LEVEL"," HEALTHY","lop","no"," "," ",10
12,22,1,"BL12I-PS-TRIP-05:CR3:M22:S1","OH3 LOP 2","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",8
13,22,2,"BL12I-PS-TRIP-05:CR3:M22:S2","OH3 LOP 2","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",12
14,9,3,"BL12I-PS-PERM-05:CR3:M09:S3","EH2 LOP 11 PERMIT 2","EXP. BL12I-PS-SHTR-04","BL12I-PS-IOC-03","serial","no","BL12I-PS-experiment2Shutter.edl"," ",13
15,9,4,"BL12I-PS-HUEN-05:CR3:M09:S4"," ","OH3 OPTICS HUTCH","ENABLED","serial","no","BL12I-PS-opticsHutch3Enabled.edl"," ",14
16,9,0,"BL12I-PS-IOC-03","OH3 LOP 6 PERMIT 1","BL12I-PS-SHTR-03","OPTICS SHUTTER","lop","no"," "," ",15
