"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,10,3,"BL13I-PS-BOBIO-01:CR1:M10:S3","OH1","BEAM OFF  BUTTON","INDICATORS OK","serial","no"," "," ",0
2,10,4,"BL13I-PS-GADL-01:CR1:M10:S4","OH1","GENERAL ACCESS","DOOR LOCKED","serial","no"," "," ",1
3,9,1,"BL13I-PS-STIND-01:CR1:M09:S1"," ","OH1 STANDBY","INDICATORS OK","serial","no"," "," ",2
4,9,2,"BL13I-PS-BOIND-01:CR1:M09:S2"," ","OH1 BEAM ON","INDICATORS OK","serial","no"," "," ",3
5,13,3,"BL13I-PS-STRCL-02:CR1:M13:S3","BL13I-PS-RACK-02","OH3 BL13I-PS-SHTR-01","OPT. SHUTTER CLOSED","dup","no"," "," ",4
6,13,4,"BL13I-PS-STRCL-02:CR1:M13:S4","BL13I-PS-RACK-02","OH3 BL13I-PS-SHTR-01","OPT. SHUTTER CLOSED","dup","no"," "," ",5
7,8,3,"BL13I-PS-STRCL-12:CR1:M08:S3","BL13J-PS-RACK-01","OH4 BL13J-PS-SHTR-01","OPT. SHUTTER CLOSED","dup","no"," "," ",6
8,8,4,"BL13I-PS-STRCL-12:CR1:M08:S4","BL13J-PS-RACK-01","OH4 BL13J-PS-SHTR-01","OPT. SHUTTER CLOSED","dup","no"," "," ",7
9,13,1,"BL13I-PS-HUEN-04:CR1:M13:S1","BL13I-PS-RACK-02","OH3 OPTICS","HUTCH ENABLED","dup","no","BL13I-PS-opticsHutch3Enabled.edl"," ",4
10,13,2,"BL13I-PS-HUEN-04:CR1:M13:S2","BL13I-PS-RACK-02","OH3 OPTICS","HUTCH ENABLED","dup","yes","BL13I-PS-opticsHutch3Enabled.edl"," ",9
11,8,1,"BL13I-PS-HUEN-11:CR1:M08:S1","BL13J-PS-RACK-01","OH4 OPTICS","HUTCH ENABLED","dup","no","BL13J-PS-opticsHutch4Enabled.edl"," ",10
12,8,2,"BL13I-PS-HUEN-11:CR1:M08:S2","BL13J-PS-RACK-01","OH4 OPTICS","HUTCH ENABLED","dup","yes","BL13J-PS-opticsHutch4Enabled.edl"," ",11
13,8,0,"BL13I-PS-IOC-01","LOP 2","OH1 MEDIUM","LEVEL HEALTHY","lop","yes"," "," ",12
14,22,1,"BL13I-PS-TRIP-01:CR1:M22:S1","OH1 LOP 2","MEDIUM LEVEL","TRIP LATCH","serial","no"," ","now",13
15,22,2,"BL13I-PS-RADIN-01:CR1:M22:S2","OH1 RADIATION","MONITOR LEVELS","INSTANT. TRIP","serial","no"," ","now",14
16,9,3,"BL13I-PS-PERM-02:CR1:M09:S3","OH2 LOP 11 PERMIT 2","OPTICS SHUTTER","FE13I-PS-SHTR-02","serial","no","BL13I-PS-optics2Shutter.edl"," ",15
17,9,4,"BL13I-PS-HUEN-01:CR1:M09:S4","OH1","OPTICS HUTCH","ENABLED","serial","no","BL13I-PS-opticsHutch1Enabled.edl"," ",16
18,9,0,"BL13I-PS-IOC-01","LOP 6 OH1OH2 PERMIT 1","FE13I-PS-SHTR-02","OPTICS SHUTTER","lop","no"," "," ",17
