"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,20,3,"BL13J-PS-STRCL-03:CR1:M20:S3","BL13I-PS-RACK-01","OH1OH2","FE13I-PS-SHTR-02 CLSD.","dup","no"," "," ",0
2,20,4,"BL13J-PS-STRCL-03:CR1:M20:S4","BL13I-PS-RACK-01","OH1OH2"," FE13I-PS-SHTR-02 CLSD.","dup","no"," "," ",1
3,4,1,"BL13J-PS-STRCL-02:CR1:M04:S1","OH4 BL13J-PS-SHTR-01","OPTICS SHUTTER","CLOSED","dup","no"," "," ",0
4,4,2,"BL13J-PS-STRCL-02:CR1:M04:S2","OH4 BL13J-PS-SHTR-01","OPTICS SHUTTER","CLOSED","dup","yes"," "," ",3
5,20,1,"BL13J-PS-HUEN-01:CR1:M20:S1"," ","OH4 OPTICS","HUTCH ENABLED","serial","no","BL13J-PS-opticsHutch4Enabled.edl"," ",0
6,20,2,"BL13J-PS-STRCL-01:CR1:M20:S2","EH2 BL13J-PS-SHTR-02","EXPERIMENT SHUTTER","CLOSED","serial","yes"," "," ",5
7,15,1,"BL13J-PS-HUEN-01:CR1:M15:S1"," ","OH4 OPTICS","HUTCH ENABLED","serial","no","BL13J-PS-opticsHutch4Enabled.edl"," ",0
8,15,2,"BL13J-PS-HUEN-02:CR1:M15:S2"," ","EH2 EXPERIMENT","HUTCH ENABLED","serial","yes","BL13J-PS-experimentHutch2Enabled.edl"," ",7
9,20,0,"BL13J-PS-IOC-01"," ","LOP 16","G HUTCHES SAFE","lop","yes"," "," ",2
