"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,1,"BL13J-PS-PKPE-01:CR1:M16:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,16,2,"BL13J-PS-PKP-01:CR1:M16:S2"," ","OH4 OPTICS HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,3,"BL13J-PS-BOBDR-01:CR1:M06:S3","OH4 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,4,"BL13J-PS-BOBDR-01:CR1:M06:S4","OH4 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,5,1,"BL13J-PS-SADC-01:CR1:M05:S1","OH4 SERVICE","ACCESS DOOR","CLOSED","dup","no"," "," ",4
6,5,2,"BL13J-PS-SADC-01:CR1:M05:S2","OH4 SERVICE","ACCESS DOOR","CLOSED","dup","no"," "," ",5
7,5,3,"BL13J-PS-GADC-01:CR1:M05:S3","OH4 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",6
8,5,4,"BL13J-PS-GADC-01:CR1:M05:S4","OH4 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",7
9,4,3,"BL13J-PS-HSC-01:CR1:M04:S3","OH4 HUTCH","SEARCHED &","CLOSED","dup","no","BL13J-PS-opticsHutch4Closed.edl"," ",8
10,4,4,"BL13J-PS-HSC-01:CR1:M04:S4","OH4 HUTCH","SEARCHED &","CLOSED","dup","no","BL13J-PS-opticsHutch4Closed.edl"," ",9
11,4,0,"BL13J-PS-IOC-01"," ","LOP 5 OH4 OPTICS","HUTCH ENABLED","lop","no"," "," ",10
12,3,1,"BL13J-PS-STIM-01:CR1:M03:S1"," ","OH4 SEARCH","TIMER","serial","no"," "," ",6
13,3,2,"BL13J-PS-NSCOM-01:CR1:M03:S2"," ","OH4 NOT SEARCH","COMPLETE","serial","yes","BL13J-PS-opticsHutch4Closed.edl"," ",12
14,5,0,"BL13J-PS-IOC-01"," ","LOP 1 OH4","INTERLOCKS SET","lop","no"," "," ",13
