"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,20,3,"BL14I-PS-STRCL-07:CR2:M20:S3","BL14I RACK-01 OH1 OH2","FE14I-PS-SHTR-02 OR","BL14I-PS-SHTR-01 CLSD","dup","no"," "," ",0
2,20,4,"BL14I-PS-STRCL-07:CR2:M20:S4","BL14I RACK-01 OH1 OH2","FE14I-PS-SHTR-02 OR","BL14I-PS-SHTR-01 CLSD","dup","no"," "," ",1
3,4,1,"BL14I-PS-STRCL-03:CR2:M04:S1","OH3 BL14I-PS-SHTR-02","& BL14J-PS-SHTR-02","OPTICS SHTRS CLOSED","dup","no"," "," ",0
4,4,2,"BL14I-PS-STRCL-03:CR2:M04:S2","OH3 BL14I-PS-SHTR-02","& BL14J-PS-SHTR-02","OPTICS SHTRS CLOSED","dup","yes"," "," ",3
5,20,1,"BL14I-PS-HUEN-03:CR2:M20:S1"," ","OH3 OPTICS","HUTCH ENABLED","serial","no","BL14I-PS-opticsHutch3Enabled.edl"," ",0
6,20,2,"BL14I-PS-STRCL-01:CR2:M20:S2","EH2 BL14I-PS-SHTR-03","EXPERIMENT SHUTTER","CLOSED","serial","yes"," "," ",5
7,15,1,"BL14I-PS-HUEN-03:CR2:M15:S1"," ","OH3 OPTICS","HUTCH ENABLED","serial","no","BL14I-PS-opticsHutch3Enabled.edl"," ",0
8,15,2,"BL14I-PS-HUEN-05:CR2:M15:S2"," ","EH2 EXPERIMENT","HUTCH ENABLED","serial","yes","BL14I-PS-experimentHutch2Enabled.edl"," ",7
9,20,0,"BL14I-PS-IOC-02"," ","LOP 16","G HUTCHES SAFE","lop","yes"," "," ",2
