"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,10,3,"BL14I-PS-BOBIO-03:CR2:M10:S3","OH3","BEAM OFF  BUTTON","INDICATORS OK","serial","no"," "," ",0
2,10,4,"BL14I-PS-GADL-03:CR2:M10:S4","OH3","GENERAL ACCESS","DOOR LOCKED","serial","no"," "," ",1
3,9,1,"BL14I-PS-STIND-03:CR2:M09:S1"," ","OH3 STANDBY","INDICATORS OK","serial","no"," "," ",2
4,9,2,"BL14I-PS-BOIND-03:CR2:M09:S2"," ","OH3 BEAM ON","INDICATORS OK","serial","no"," "," ",3
5,8,3,"BL14I-PS-ENCL-01:CR2:M08:S3","BL14J-PS-RACK-01 EH1","HUTCH ENABLED OR","BL14J SHTR-03 CLSD","serial","no","BL14J-PS-experimentHutchEnabled.edl"," ",4
6,8,4,"BL14I-PS-ENCL-02:CR2:M08:S4","EH2 EXPERIMENT","HUTCH ENABLED OR","BL14I SHTR-03 CLSD","serial","no","BL14I-PS-experimentHutch2Enabled.edl"," ",5
7,22,1,"BL14I-PS-TRIP-05:CR2:M22:S1","LOP 2 OH3","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",6
8,22,2,"BL14I-PS-TRIP-05:CR2:M22:S2","LOP 2 OH3","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",7
9,9,3,"BL14I-PS-HUEN-03:CR2:M09:S3"," ","OH3 OPTICS HUTCH","ENABLED","dup","no","BL14I-PS-opticsHutch3Enabled.edl"," ",8
10,9,4,"BL14I-PS-HUEN-03:CR2:M09:S4"," ","OH3 OPTICS HUTCH","ENABLED","dup","no","BL14I-PS-opticsHutch3Enabled.edl"," ",9
11,9,0,"BL14I-PS-IOC-02","LOP 6 OH3 PERMIT 5","BL14I & BL14J SHTR-02","OPTICS SHUTTERS","lop","no"," "," ",10
12,8,0,"BL14I-PS-IOC-02","LOP 2 OH3","MEDIUM LEVEL"," HEALTHY","lop","no"," "," ",6
