"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,20,1,"BL15I-PS-ASB-06:CR1:M20:S1"," ","OH1A SEARCH","POINT 1 LATCH","serial","no"," "," ",0
2,20,2,"BL15I-PS-ASB-12:CR1:M20:S2"," ","OH1A SEARCH","POINT 2 LATCH","serial","no"," "," ",1
3,20,3,"BL15I-PS-ADC-01:CR1:M20:S3"," ","OH1A ACCESS DOOR","CLOSED LATCH","serial","no"," "," ",2
4,20,4,"BL15I-PS-ASB-13:CR1:M20:S4"," ","OH1A SEARCH","POINT 3 LATCH","serial","no"," "," ",3
5,2,1,"BL15I-PS-RIHL-01:CR1:M02:S1","OH1 RESTRICTED","INDICATOR HEALTHY","LATCH","serial","no"," "," ",4
6,2,2,"BL15I-PS-ASB-02:CR1:M02:S2"," ","OH1 SEARCH","POINT 1 LATCH","serial","no"," "," ",5
7,2,3,"BL15I-PS-ASB-01:CR1:M02:S3"," ","OH1 SEARCH","POINT 2 LATCH","serial","no"," "," ",6
8,2,4,"BL15I-PS-DS-04:CR1:M02:S4"," ","OH1","SEARCH GATE","serial","no"," "," ",7
9,1,3,"BL15I-PS-ASB-03:CR1:M01:S3"," ","OH1 SEARCH","POINT 3 LATCH","serial","no"," "," ",8
10,1,4,"BL15I-PS-ASBF-01:CR1:M01:S4","OH1OH1A","LAST AREA SEARCH","POINT LATCH","serial","no"," "," ",9
11,3,3,"BL15I-PS-SCDEO-01:CR1:M03:S3","OH1OH1A SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",10
12,3,4,"BL15I-PS-SCDEO-01:CR1:M03:S4","OH1OH1A SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",11
13,3,0,"BL15I-PS-IOC-01","OH1OH1A LOP 4","HUTCH SEARCHED","& CLOSED","lop","no"," "," ",12
14,1,0,"BL15I-PS-IOC-01"," ","OH1OH1A LOP 3","SEARCH COMPLETE","lop","no"," "," ",10
15,2,0,"BL15I-PS-IOC-01","OH1 LOP 12 SEARCH","GATE CLOSED ONCE","BL15I-PS-DS-04","lop","no"," "," ",8
