"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,1,"BL15I-PS-PKPE-01:CR1:M16:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,16,2,"BL15I-PS-PKP-01:CR1:M16:S2","OH1OH1A","OPTICS HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,3,"BL15I-PS-BOBDR-01:CR1:M06:S3","OH1OH1A BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,4,"BL15I-PS-BOBDR-01:CR1:M06:S4","OH1OH1A BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,5,1,"BL15I-PS-SADC-01:CR1:M05:S1","OH1OH1A","SERVICE & ACCESS","DOOR CLOSED","dup","no"," "," ",4
6,5,2,"BL15I-PS-SADC-01:CR1:M05:S2","OH1OH1A","SERVICE & ACCESS","DOOR CLOSED","dup","no"," "," ",5
7,5,3,"BL15I-PS-GADC-01:CR1:M05:S3","OH1 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",6
8,5,4,"BL15I-PS-GADC-01:CR1:M05:S4","OH1 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",7
9,4,3,"BL15I-PS-HSC-01:CR1:M04:S3","OH1OH1A","HUTCH SEARCHED","& CLOSED","dup","no","BL15I-PS-opticsHutchClosed.edl"," ",8
10,4,4,"BL15I-PS-HSC-01:CR1:M04:S4","OH1OH1A","HUTCH SEARCHED","& CLOSED","dup","no","BL15I-PS-opticsHutchClosed.edl"," ",9
11,4,0,"BL15I-PS-IOC-01","OH1OH1A LOP 5","OPTICS HUTCH","ENABLED","lop","no"," "," ",10
12,4,1,"BL15I-PS-NSCOM-01:CR1:M04:S1","OH1OH1A","NOT SEARCH","COMPLETE","serial","no"," "," ",4
13,4,2,"BL15I-PS-NLAD-01:CR1:M04:S2","OH1OH1A","NOT LOCK","ACCESS DOOR","serial","yes"," "," ",12
14,3,1,"BL15I-PS-STIM-01:CR1:M03:S1"," ","OH1OH1A","SEARCH TIMER","serial","no"," "," ",6
15,3,2,"BL15I-PS-NSCOM-01:CR1:M03:S2","OH1OH1A","NOT SEARCH","COMPLETE","serial","yes"," "," ",14
16,5,0,"BL15I-PS-IOC-01"," ","OH1OH1A LOP 1","INTERLOCKS SET","lop","no"," "," ",15
