"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,12,1,"BL18B-PS-RIHL-02:CR1:M12:S1","EH1 RESTRICTED","INDICATOR","HEALTHY LATCH","dup","no"," "," ",0
2,12,2,"BL18B-PS-RIHL-02:CR1:M12:S2","EH1 RESTRICTED","INDICATOR","HEALTHY LATCH","dup","no"," "," ",1
3,12,3,"BL18B-PS-ASB-03:CR1:M12:S3"," ","EH1 SEARCH POINT","1 LATCH","serial","no"," "," ",2
4,12,4,"BL18B-PS-DS-07:CR1:M12:S4"," ","EH1 SEARCH GATE","CLOSED LATCH","serial","no"," "," ",3
5,13,3,"BL18B-PS-ASB-04:CR1:M13:S3"," ","EH1 SEARCH POINT","2 LATCH","serial","no"," "," ",4
6,13,4,"BL18B-PS-ASBF-02:CR1:M13:S4"," ","EH1 LAST AREA","SEARCH POINT LATCH","serial","no"," "," ",5
7,11,3,"BL18B-PS-SCDEO-02:CR1:M11:S3","EH1 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",6
8,11,4,"BL18B-PS-SCDEO-02:CR1:M11:S4","EH1 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",7
9,11,0,"BL18B-PS-IOC-01","LOP 9","EH1 HUTCH","SEARCHED & CLOSED","lop","no"," "," ",8
10,13,0,"BL18B-PS-IOC-01","LOP 8","EH1","SEARCH COMPLETE","lop","no"," "," ",6
