"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,18,1,"BL19I-PS-BOBIO-02:CR1:M18:S1","EH1","BEAM OFF BUTTON","INDICATORS OK","serial","no"," "," ",0
2,18,2,"BL19I-PS-GADL-02:CR1:M18:S2","EH1","GENERAL ACCESS","DOOR LOCKED","serial","no"," "," ",1
3,18,3,"BL19I-PS-STIND-02:CR1:M18:S3"," ","EH1 STANDBY","INDICATORS OK","serial","no"," "," ",2
4,18,4,"BL19I-PS-BOIND-02:CR1:M18:S4"," ","EH1 BEAM ON","INDICATORS OK","serial","no"," "," ",3
5,18,0,"BL19I-PS-IOC-01","EH1 LOP 15","MEDIUM LEVEL"," HEALTHY","lop","no"," "," ",4
6,21,1,"BL19I-PS-TRIP-02:CR1:M21:S1","EH1 LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",5
7,21,2,"BL19I-PS-TRIP-02:CR1:M21:S2","EH1 LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",6
8,8,3,"BL19I-PS-PERM-06:CR1:M08:S3","(RACK2) EH2 LOP 11","PRMT 6 EXP. SHTR","BL19I-PS-SHTR-01","dup","no"," "," ",7
9,8,4,"BL19I-PS-PERM-06:CR1:M08:S4","(RACK2) EH2 LOP 11","PRMT 6 EXP. SHTR","BL19I-PS-SHTR-01","dup","no"," "," ",8
10,8,1,"BL19I-PS-PKP-05:CR1:M08:S1"," ","EH1 HATCH","LOCKED CLOSED","serial","no"," "," ",7
11,8,2,"BL19I-PS-HATCL-01:CR1:M08:S2"," ","EH1","HATCH CLOSED","serial","yes"," "," ",10
12,17,3,"BL19I-PS-HUEN-02:CR1:M17:S3"," ","EH1 EXPERIMENT","HUTCH ENABLED","dup","no","BL19I-PS-experimentHutchEnabled.edl"," ",9
13,17,4,"BL19I-PS-HUEN-02:CR1:M17:S4"," ","EH1 EXPERIMENT","HUTCH ENABLED","dup","no","BL19I-PS-experimentHutchEnabled.edl"," ",12
14,17,0,"BL19I-PS-IOC-01","EH1 LOP 11 PERMIT 2","EXPERIMENT SHUTTER","BL19I-PS-SHTR-01","lop","no"," "," ",13
