"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,1,"BL19I-PS-PKPE-01:CR2:M16:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,16,2,"BL19I-PS-PKP-04:CR2:M16:S2"," ","OH2 OPTICS HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,3,"BL19I-PS-BOBDR-03:CR2:M06:S3","OH2 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,4,"BL19I-PS-BOBDR-03:CR2:M06:S4","OH2 BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,5,1,"BL19I-PS-SADC-03:CR2:M05:S1"," ","OH2 SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",4
6,5,2,"BL19I-PS-SADC-03:CR2:M05:S2"," ","OH2 SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",5
7,5,3,"BL19I-PS-GADC-03:CR2:M05:S3","OH2 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",6
8,5,4,"BL19I-PS-GADC-03:CR2:M05:S4","OH2 GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",7
9,4,3,"BL19I-PS-HSC-03:CR2:M04:S3","OH2 HUTCH","SEARCHED &","CLOSED","dup","no","BL19I-PS-opticsHutch2Closed.edl"," ",8
10,4,4,"BL19I-PS-HSC-03:CR2:M04:S4","OH2 HUTCH","SEARCHED &","CLOSED","dup","no","BL19I-PS-opticsHutch2Closed.edl"," ",9
11,4,0,"BL19I-PS-IOC-02"," ","OH2 LOP 5 OPTICS","HUTCH ENABLED","lop","no"," "," ",10
12,3,1,"BL19I-PS-STIM-03:CR2:M03:S1"," ","OH2 SEARCH","TIMER","serial","no"," "," ",6
13,3,2,"BL19I-PS-NSCOM-03:CR2:M03:S2"," ","OH2 NOT SEARCH","COMPLETE","serial","yes"," "," ",12
14,5,0,"BL19I-PS-IOC-02"," ","OH2 LOP 1","INTERLOCKS SET","lop","no"," "," ",13
