"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,18,1,"BL20J-PS-BOBIO-04:CR1:M18:S1","EH2","BEAM OFF BUTTON","INDICATORS OK","serial","no"," "," ",0
2,18,2,"BL20J-PS-GASDL-03:CR1:M18:S2","EH2 GEN. ACC. DR.","& SERVICE ACCESS","DOORS LOCKED","serial","no"," "," ",1
3,18,3,"BL20J-PS-STIND-04:CR1:M18:S3"," ","EH2 STANDBY","INDICATORS OK","serial","no"," "," ",2
4,18,4,"BL20J-PS-BOIND-04:CR1:M18:S4"," ","EH2 BEAM ON","INDICATORS OK","serial","no"," "," ",3
5,21,1,"BL20J-PS-TRIP-04:CR1:M21:S1","EH2 LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",4
6,21,2,"BL20J-PS-TRIP-04:CR1:M21:S2","EH2 LOP 15","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",5
7,17,3,"BL20J-PS-HUEN-03:CR1:M17:S3"," ","PH POLYCHROMATOR"," HUTCH ENABLED","serial","no","BL20J-PS-polychromatorHutchEnabled.edl"," ",6
8,17,4,"BL20J-PS-HUEN-04:CR1:M17:S4"," ","EH2 EXPERIMENT","HUTCH ENABLED","serial","no","BL20J-PS-experimentHutch2Enabled.edl"," ",7
9,17,0,"BL20J-PS-IOC-01","LOP 11 EH2 PERMIT 2","EXPERIM. SHUTTER","BL20J-PS-SHTR-02","lop","no"," "," ",8
10,18,0,"BL20J-PS-IOC-01","LOP 15","EH2 MEDIUM","LEVEL HEALTHY","lop","no"," "," ",4
