"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,13,1,"BL20J-PS-RIHL-04:CR1:M13:S1","EH2 RESTRICTED","INDICATOR","HEALTHY LATCH","serial","no"," "," ",0
2,13,2,"BL20J-PS-DS-12:CR1:M13:S2"," ","EH2 SEARCH GATE","CLOSED LATCH","serial","no"," "," ",1
3,13,3,"BL20J-PS-ASB-07:CR1:M13:S3"," ","EH2 SEARCH POINT","1 LATCH","dup","no"," "," ",2
4,13,4,"BL20J-PS-ASB-07:CR1:M13:S4"," ","EH2 SEARCH POINT","1 LATCH","dup","no"," "," ",3
5,12,1,"BL20J-PS-ASB-08:CR1:M12:S1"," ","EH2 SEARCH POINT","2 LATCH","serial","no"," "," ",4
6,12,2,"BL20J-PS-ASB-09:CR1:M12:S2"," ","EH2 SEARCH POINT","3 LATCH","serial","no"," "," ",5
7,12,3,"BL20J-PS-ASB-10:CR1:M12:S3"," ","EH2 SEARCH POINT","4 LATCH","serial","no"," "," ",6
8,12,4,"BL20J-PS-AFGO-01:CR1:M12:S4","EH2 LAST AREA SRCH","POINT & SEARCH","GATE OPEN LATCH","serial","no"," "," ",7
9,11,3,"BL20J-PS-SCDEO-04:CR1:M11:S3","EH2 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",8
10,11,4,"BL20J-PS-SCDEO-04:CR1:M11:S4","EH2 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",9
11,11,0,"BL20J-PS-IOC-01","LOP 9","EH2 HUTCH","SEARCHED & CLOSED","lop","no"," "," ",10
12,12,0,"BL20J-PS-IOC-01","LOP 8","EH2","SEARCH COMPLETE","lop","no"," "," ",8
