"Dummy header, was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,1,"BL20J-PS-PKPE-01:CR1:M16:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,16,2,"BL20J-PS-PKP-03:CR1:M16:S2","PH","POLYCHROMATOR","HUTCH OPERATIONAL","serial","no"," "," ",1
3,6,3,"BL20J-PS-BOBDR-03:CR1:M06:S3","PH BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,4,"BL20J-PS-BOBDR-03:CR1:M06:S4","PH BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,5,3,"BL20J-PS-GADC-03:CR1:M05:S3","PH GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",4
6,5,4,"BL20J-PS-GADC-03:CR1:M05:S4","PH GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",5
7,4,3,"BL20J-PS-HSC-03:CR1:M04:S3","PH HUTCH","SEARCHED &","CLOSED","dup","no","BL20J-PS-polychromatorHutchClosed.edl"," ",6
8,4,4,"BL20J-PS-HSC-03:CR1:M04:S4","PH HUTCH","SEARCHED &","CLOSED","dup","no","BL20J-PS-polychromatorHutchClosed.edl "," ",7
9,4,0,"BL20J-PS-IOC-01","LOP 5 PH","POLYCHROMATOR","HUTCH ENABLED","lop","no"," "," ",8
10,3,1,"BL20J-PS-STIM-03:CR1:M03:S1"," ","PH SEARCH","TIMER","serial","no"," "," ",4
11,3,2,"BL20J-PS-NSCOM-03:CR1:M03:S2"," ","PH NOT SEARCH","COMPLETE","serial","yes","BL20J-PS-polychromatorHutchClosed.edl"," ",10
12,5,0,"BL20J-PS-IOC-01","LOP 1","PH","INTERLOCKS SET","lop","yes"," "," ",6
