"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,10,3,"BL20J-PS-BOBIO-03:CR1:M10:S3","PH","BEAM OFF  BUTTON","INDICATORS OK","serial","no"," "," ",0
2,10,4,"BL20J-PS-GADL-01:CR1:M10:S4","PH","GENERAL ACCESS","DOOR LOCKED","serial","no"," "," ",1
3,9,1,"BL20J-PS-STIND-03:CR1:M09:S1"," ","PH STANDBY","INDICATORS OK","serial","no"," "," ",2
4,9,2,"BL20J-PS-BOIND-03:CR1:M09:S2"," ","PH BEAM ON","INDICATORS OK","serial","no"," "," ",3
5,8,3,"BL20J-PS-STRCL-01:CR1:M08:S3","EH2 BL20J-PS-SHTR-02","EXPERIMENT","SHUTTER CLOSED","dup","no"," "," ",4
6,8,4,"BL20J-PS-STRCL-01:CR1:M08:S4","EH2 BL20J-PS-SHTR-02","EXPERIMENT","SHUTTER CLOSED","dup","no"," "," ",5
7,8,1,"BL20J-PS-HUEN-04:CR1:M08:S1"," ","EH2 EXPERIMENT","HUTCH ENABLED","dup","no","BL20J-PS-experimentHutch2Enabled.edl"," ",4
8,8,2,"BL20J-PS-HUEN-04:CR1:M08:S2"," ","EH2 EXPERIMENT","HUTCH ENABLED","dup","yes","BL20J-PS-experimentHutch2Enabled.edl"," ",7
9,8,0,"BL20J-PS-IOC-01","LOP 2","PH MEDIUM","LEVEL HEALTHY","lop","yes"," "," ",6
10,22,1,"BL20J-PS-TRIP-03:CR1:M22:S1","PH LOP 2","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",8
11,22,2,"BL20J-PS-TRIP-03:CR1:M22:S2","PH LOP 2","MEDIUM LEVEL","TRIP LATCH","dup","no"," ","now",10
12,9,3,"BL20J-PS-HUEN-03:CR1:M09:S3"," ","PH POLYCHROMATOR"," HUTCH ENABLED","dup","no","BL20J-PS-polychromatorHutchEnabled.edl"," ",11
13,9,4,"BL20J-PS-HUEN-03:CR1:M09:S4"," ","PH POLYCHROMATOR","HUTCH ENABLED","dup","no","BL20J-PS-polychromatorHutchEnabled.edl"," ",12
14,9,0,"BL20J-PS-IOC-01","LOP 6 PH PERMIT 1","POLYCHR. SHUTTER","BL20J-PS-SHTR-01","lop","no"," "," ",13
