"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,20,3,"BL21I-PS-VACOK-03:CR2:M20:S3"," ","LAB10TP VACUUM","SWITCHES OK","serial","no"," "," ",0
2,20,4,"BL21I-PS-VACOK-04:CR2:M20:S4"," "," ","SPARE","serial","no"," "," ",1
3,0,1,"bypass"," ","bypass","bypass","bypass","no"," "," ",2
4,20,1,"BL21I-PS-BODEL-01:CR2:M20:S1","G BEAM ON","INDICATORS OK","DELAY","serial","no"," "," ",3
5,20,2,"BL21I-PS-PMIT-04:CR2:M20:S2","SH LOP 9 PERMIT 4 ","BL21I-PS-SHTR-02","EXPERIMENT SHUTTER","serial","no"," "," ",4
6,21,3,"BL21I-PS-BOIND-03:CR2:M21:S3"," ","LAB10TP BEAM ON","INDICATORS OK","serial","no"," "," ",3
7,21,4,"BL21I-PS-PMIT-04:CR2:M21:S4","SH LOP 9 PERMIT 4 ","BL21I-PS-SHTR-02","EXPERIMENT SHUTTER","serial","yes"," "," ",6
8,20,0,"BL21I-PS-IOC-02","LOP 11 LAB 10 &","TRANSPORT PIPE","AREA ENABLED","lop","yes"," "," ",2
9,21,0,"BL21I-PS-IOC-02","LOP 7 LAB10TP","PMT 3 BL21I SHTR-01","LAB 10 & TRANS. PIPE","lop","yes"," "," ",5
