"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,15,3,"BL21I-PS-VACOK-05:CR2:M15:S3"," ","SH VACUUM","SWITCHES OK","serial","no"," "," ",0
2,15,4,"BL21I-PS-VACOK-06:CR2:M15:S4"," ","SH VACUUM","SWITCHES OK","serial","no"," "," ",1
3,0,1,"bypass"," ","bypass","bypass","bypass","no"," "," ",2
4,18,1,"BL21I-PS-BODEL-01:CR2:M18:S1","BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",3
5,18,2,"BL21I-PS-BODEL-01:CR2:M18:S2","BEAM ON","INDICATORS OK","DELAY","dup","no"," "," ",4
6,18,3,"BL21I-PS-BOIND-04:CR2:M18:S3"," ","SH BEAM ON","INDICATORS OK","dup","no"," "," ",3
7,18,4,"BL21I-PS-BOIND-04:CR2:M18:S4"," ","SH BEAM ON","INDICATORS OK","dup","yes"," "," ",6
8,15,0,"BL21I-PS-IOC-02","LOP 12 SH","SPECTROMETER HALL","AREA ENABLED","lop","yes"," "," ",2
9,18,0,"BL21I-PS-IOC-02","LOP 9 SH PERMIT 4","BL21I-PS-SHTR-02","EXPERIM. SHUTTER","lop","yes"," "," ",5
