"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,7,3,"BL22B-PS-SHPMT-01:CR1:M07:S3"," ","OPTICS SHUTTER","PERMIT","serial","no","BL22B-PS-shutterPermits.edl"," ",0
2,7,4,"BL22B-PS-STRCL-03:CR1:M07:S4"," ","NOT PORT","SHUTTER CLOSED","serial","no"," "," ",1
3,7,0,"BL22B-PS-IOC-01"," ","LOP5","BEAM ON INDICATOR","lop","no"," "," ",2
4,-2,1,"gap","gap","gap","gap","gap","no"," "," ",3
5,0,0,"24v","24v","24v","24v","24v","no"," "," ",4
6,10,1,"BL22B-PS-BOIND-02:CR1:M10:S1","BEAM ON","INDICATOR OK","DELAY","dup","no"," "," ",5
7,10,2,"BL22B-PS-BOIND-02:CR1:M10:S2","BEAM ON","INDICATOR OK","DELAY","dup","no"," "," ",6
8,6,0,"BL22B-PS-IOC-01"," ","LOP7","BEAMLINE OK","lop","yes"," "," ",7
9,2,1,"BL22B-PS-STRCL-02:CR1:M02:S1"," ","OPTICS SHUTTER","CLOSED","dup","no"," "," ",5
10,2,2,"BL22B-PS-STRCL-02:CR1:M02:S2"," ","OPTICS SHUTTER","CLOSED","dup","yes"," "," ",9
11,6,3,"BL22B-PS-STRCL-03:CR1:M06:S3"," ","PORT SHUTTER","CLOSED","dup","no"," "," ",5
12,6,4,"BL22B-PS-STRCL-03:CR1:M06:S4"," ","PORT SHUTTER","CLOSED","dup","yes"," "," ",11
13,5,1,"BL22B-PS-BOIND-02:CR1:M05:S1"," ","BEAM ON","INDICATOR OK","dup","no"," "," ",5
14,5,2,"BL22B-PS-BOIND-02:CR1:M05:S2"," ","BEAM ON","INDICATOR OK","dup","yes"," "," ",13
15,40,0,"gap","gap","gap","gap","gap","no"," "," ",5
16,0,-2,"gap","gap","gap","gap","gap","no"," "," ",15
17,7,1,"BL22B-PS-BOIND-03:CR1:M07:S1"," ","BEAM ON","INDICATOR HEALTHY","serial","no"," "," ",16
18,0,0,"gap","gap","gap","gap","gap","no"," "," ",17
19,7,2,"BL22B-PS-J3PI-01:CR1:M07:S2"," ","FE22B-PS-SHTR-02","J3 PLUGGED IN","serial","no"," "," ",18
