"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,1,1,"BL22B-PS-BOB-01:CR1:M01:S1","(NOT USED)","BEAM OFF","BUTTON OK","dup","no"," ","log",0
2,1,2,"BL22B-PS-BOB-01:CR1:M01:S2","(NOT USED)","BEAM OFF","BUTTON OK","dup","no"," ","log",1
3,5,0,"BL22B-PS-IOC-01"," ","LOP6","SHUTTER CASCADE","lop","yes"," "," ",2
4,5,3,"BL22B-PS-STRCL-02:CR1:M05:S3"," ","OPTICS SHUTTER","CLOSED","dup","no"," "," ",0
5,5,4,"BL22B-PS-STRCL-02:CR1:M05:S4"," ","OPTICS SHUTTER","CLOSED","dup","yes"," "," ",4
6,6,1,"BL22B-PS-STRCL-03:CR1:M06:S1"," ","PORT SHUTTER","CLOSED","dup","no"," "," ",0
7,6,2,"BL22B-PS-STRCL-03:CR1:M06:S2"," ","PORT SHUTTER","CLOSED","dup","yes"," "," ",6
8,10,-15,"gap","gap","gap","gap","gap","no"," "," ",6
9,0,0,"24v","24v","24v","24v","24v","no"," "," ",8
10,9,3,"BL22B-PS-SHCAS-01:CR1:M09:S3"," "," ","SHUTTER CASCADE","dup","no"," ","now",9
11,9,4,"BL22B-PS-SHCAS-01:CR1:M09:S4"," "," ","SHUTTER CASCADE","dup","no"," ","now",10
12,9,0,"BL22B-PS-IOC-01","LOP4","(NOT USED)","SR BEAM PERMIT","lop","no"," "," ",11
