"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,1,3,"BL23B-PS-BOB-01:CR1:M01:S3"," ","BEAM OFF","BUTTON OK","dup","no"," ","log",0
2,1,4,"BL23B-PS-BOB-01:CR1:M01:S4"," ","BEAM OFF","BUTTON OK","dup","no"," ","log",1
3,3,1,"BL23B-PS-PKPE-01:CR1:M03:S1"," ","BEAMLINE","KEY ON","serial","no"," "," ",2
4,3,2,"BL23B-PS-VACSW-01:CR1:M03:S2"," ","VACUUM","SWITCH 1 OK","serial","no"," "," ",3
5,3,3,"BL23B-PS-VACSW-02:CR1:M03:S3"," ","VACUUM","SWITCH 2 OK","serial","no"," "," ",4
6,3,4,"BL23B-PS-VACSW-03:CR1:M03:S4"," ","VACUUM","SWITCH 3 OK","serial","no"," "," ",5
7,2,3,"BL23B-PS-VACSW-04:CR1:M02:S3","(NOT USED)","VACUUM","SWITCH 4 OK","dup","no"," "," ",6
8,2,4,"BL23B-PS-VACSW-04:CR1:M02:S4","(NOT USED)","VACUUM","SWITCH 4 OK","dup","no"," "," ",7
9,8,3,"BL23B-PS-BLOK-01:CR1:M08:S3"," "," ","BEAMLINE OK","dup","no","BL23B-PS-beamlineOk.edl","now",8
10,8,4,"BL23B-PS-BLOK-01:CR1:M08:S4"," "," ","BEAMLINE OK","dup","no","BL23B-PS-beamlineOk.edl","now",9
11,8,0,"BL23B-PS-IOC-01","LOP2","OPTICS SHUTTER","PERMIT","lop","no"," "," ",10
12,2,0,"BL23B-PS-IOC-01","LOP1","VACUUM","SWITCHES OK","lop","no"," "," ",8
13,10,-15,"gap","gap","gap","gap","gap","no"," "," ",6
14,0,0,"24v","24v","24v","24v","24v","no"," "," ",13
15,4,1,"BL23B-PS-VACOK-01:CR1:M04:S1"," ","VACUUM","SWITCHES OK","dup","no"," "," ",14
16,4,2,"BL23B-PS-VACOK-01:CR1:M04:S2"," ","VACUUM","SWITCHES OK","dup","no"," "," ",15
17,4,3,"BL23B-PS-STRCL-02:CR1:M04:S3"," ","OPTICS SHUTTER","CLOSED","dup","no"," "," ",14
18,4,4,"BL23B-PS-STRCL-02:CR1:M04:S4"," ","OPTICS SHUTTER","CLOSED","dup","yes"," "," ",17
19,4,0,"BL23B-PS-IOC-01","LOP3","PORT SHUTTER","PERMIT","lop","yes"," "," ",16
