"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,16,1,"BL24I-PS-PKPE-01:CR2:M16:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,16,2,"BL24I-PS-PKP-03:CR2:M16:S2","EH3A","EXPERIMENT HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,3,"BL24I-PS-BOBDR-03:CR2:M06:S3","EH3A BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,4,"BL24I-PS-BOBDR-03:CR2:M06:S4","EH3A BEAM OFF","AND DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,5,1,"BL24I-PS-SADC-02:CR2:M05:S1","EH3A","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",4
6,5,2,"BL24I-PS-SADC-02:CR2:M05:S2","EH3A","SERVICE ACCESS","DOOR CLOSED","dup","no"," "," ",5
7,3,1,"BL24I-PS-STIM-03:CR2:M03:S1"," ","EH3A SEARCH","TIMER","serial","no"," "," ",6
8,3,2,"BL24I-PS-NSCOM-03:CR2:M03:S2"," ","EH3A NOT SEARCH","COMPLETE","serial","no","BL24I-PS-experimentHutch3AClosed.edl"," ",7
9,4,3,"BL24I-PS-HSC-03:CR2:M04:S3","EH3A HUTCH","SEARCHED &","CLOSED","dup","no","BL24I-PS-experimentHutch3AClosed.edl"," ",8
10,4,4,"BL24I-PS-HSC-03:CR2:M04:S4","EH3A HUTCH","SEARCHED &","CLOSED","dup","no","BL24I-PS-experimentHutch3AClosed.edl"," ",9
11,4,0,"BL24I-PS-IOC-02","LOP 5","EH3A EXPERIMENT","HUTCH ENABLED","lop","no"," "," ",10
12,5,3,"BL24I-PS-GADC-03:CR2:M05:S3","EH3A GENERAL","ACCESS DOOR","CLOSED","dup","no"," "," ",6
13,5,4,"BL24I-PS-GADC-03:CR2:M05:S4","EH3A GENERAL","ACCESS DOOR","CLOSED","dup","yes"," "," ",12
14,5,0,"BL24I-PS-IOC-02","LOP 1","EH3A","INTERLOCKS SET","lop","yes"," "," ",8
