"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,17,1,"BL24I-PS-PKPE-01:CR2:M17:S1"," ","G BEAMLINE","ENABLED","serial","no"," "," ",0
2,17,2,"BL24I-PS-PKP-04:CR2:M17:S2","EH3B","EXPERIMENT HUTCH","OPERATIONAL","serial","no"," "," ",1
3,6,1,"BL24I-PS-BOBDR-04:CR2:M06:S1","EH3B BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",2
4,6,2,"BL24I-PS-BOBDR-04:CR2:M06:S2","EH3B BEAM OFF &","DOOR RELEASE","BUTTONS OK","dup","no"," ","log",3
5,10,1,"BL24I-PS-STIM-04:CR2:M10:S1"," ","EH3B","SEARCH TIMER","serial","no"," "," ",4
6,10,2,"BL24I-PS-NSCOM-04:CR2:M10:S2"," ","EH3B NOT SEARCH","COMPLETE","serial","no","BL24I-PS-experimentHutch3BClosed.edl"," ",5
7,14,3,"BL24I-PS-HSC-04:CR2:M14:S3","EH3B HUTCH","SEARCHED &","CLOSED","dup","no","BL24I-PS-experimentHutch3BClosed.edl"," ",6
8,14,4,"BL24I-PS-HSC-04:CR2:M14:S4","EH3B HUTCH","SEARCHED &","CLOSED","dup","no","BL24I-PS-experimentHutch3BClosed.edl"," ",7
9,14,0,"BL24I-PS-IOC-02","LOP 10","EH3B EXPERIMENT","HUTCH ENABLED","lop","no"," "," ",8
10,15,3,"BL24I-PS-GADC-04:CR2:M15:S3","EH3B","GENERAL ACCESS","DOOR CLOSED","dup","no"," "," ",4
11,15,4,"BL24I-PS-GADC-04:CR2:M15:S4","EH3B","GENERAL ACCESS","DOOR CLOSED","dup","yes"," "," ",10
12,15,0,"BL24I-PS-IOC-02","LOP 7","EH3B","INTERLOCKS SET","lop","yes"," "," ",6
