"CVS Info: $Id: BR01C-PS-interlocksSet.csv,v 1.5 2006/04/26 10:39:51 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,5,3,"BR01C-PS-VDCO-01"," ","VAULT DOOR","CRASHOUT","dup","no"," "," ",0
2,5,4,"BR01C-PS-VDCO-02"," "," "," ","dup","no"," "," ",1
3,6,1,"BR01C-PS-BOB-01"," "," ","BOB","serial","no"," "," ",2
4,6,2,"BR01C-PS-SENKY-01"," ","SEARCH","ENABLE KEY","serial","no"," "," ",3
5,5,1,"BR01C-PS-B02GT-01"," "," ","BR02C GATE","serial","no"," "," ",4
6,5,2,"BR01C-PS-B01GT-01"," "," ","BR01C GATE","serial","no"," "," ",5
7,4,1,"BR01C-PS-SCMP-03"," ","NOT SEARCH","COMPLETE","serial","no"," "," ",6
8,4,2,"BR01C-PS-RLMP-01"," ","RESTRICTED","LAMP ON","serial","no","BR01C-PS-restrictedLamp.edl"," ",7
9,6,3,"BR01C-PS-VDCL-01"," ","VAULT DOOR ","CLOSED","dup","no"," "," ",6
10,6,4,"BR01C-PS-VDCL-02"," "," "," ","dup","yes"," "," ",9
11,7,1,"BR01C-PS-LDCL-01"," ","LOBBY DOOR","CLOSED","serial","no"," "," ",6
12,7,2,"BR01C-PS-LTDAC-02"," "," ","LTD ACCESS","serial","yes","BR01C-PS-keyPress.edl"," ",11
13,6,0,"BR01C-PS-IOC-01"," ","LOP3","INTERLOCKS SET","lop","yes"," "," ",8
