"CVS Info: $Id: SR14C-PS-portShutterClosedSummary.csv,v 1.2 2006/03/01 16:11:57 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,18,1,"SR14C-PS-FESHT-01"," ","FE14I SHTR","CLOSED","serial","no"," "," ",0
2,18,2,"SR14C-PS-FESHT-02"," ","FE14B SHTR","CLOSED","serial","no"," "," ",1
3,17,1,"SR14C-PS-FESHT-03"," ","FE15I SHTR","CLOSED","serial","no"," "," ",2
4,17,2,"SR14C-PS-FESHT-04"," ","FE15B SHTR","CLOSED","serial","no"," "," ",3
5,8,1,"SR14C-PS-FESHT-05"," ","FE16I SHTR","CLOSED","serial","no"," "," ",4
6,8,2,"SR14C-PS-FESHT-06"," ","FE16B SHTR","CLOSED","serial","no"," "," ",5
7,16,1,"SR14C-PS-FESHT-07"," ","FE17I SHTR","CLOSED","serial","no"," "," ",6
8,16,2,"SR14C-PS-FESHT-08"," ","FE17B SHTR","CLOSED","serial","no"," "," ",7
9,15,3,"SR14C-PS-SRSHT-01"," ","SR18 SHTRS","CLOSED","dup","no"," "," ",8
10,15,4,"SR14C-PS-SRSHT-05"," ","SR18 SHTRS","CLOSED","dup","no"," "," ",9
11,17,3,"SR14C-PS-SRSHT-02"," ","SR12 SHTRS","CLOSED","serial","no"," "," ",10
12,17,4,"SR14C-PS-SRSHT-04"," ","SR20 SHTRS","CLOSED","serial","no"," "," ",11
13,16,3,"SR14C-PS-SRSHT-03"," ","SR10 SHTRS","CLOSED","dup","no"," "," ",12
14,16,4,"SR14C-PS-SRSHT-06"," ","SR10 SHTRS","CLOSED","dup","no"," "," ",13
15,16,0,"SR14C-PS-IOC-02","LOP16","PORT SHTR","CLOSED SUMMARY","lop","yes"," "," ",14
16,15,0,"SR14C-PS-IOC-02","LOP12","SC RF TEST SHTR","CLOSED SUMMARY","lop","no"," "," ",10
17,17,0,"SR14C-PS-IOC-02","LOP15","ALL RF TEST SHTR","CLOSED SUMMARY","lop","no"," "," ",12
