"CVS Info: $Id: SR22C-PS-portShutterPermits.csv,v 1.1.1.1 2006/02/23 09:01:18 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,1,1,"SR22C-PS-SRMOD-01"," "," ","SR MODE OK","dup","no","SR04C-PS-portShutterPermits.edl"," ",0
2,1,2,"SR22C-PS-SRMOD-02"," "," ","SR MODE OK","dup","no","SR04C-PS-portShutterPermits.edl"," ",1
3,1,3,"SR22C-PS-FESHT-09"," ","FE22I SHUTTER","INTERLOCK","dup","no"," "," ",2
4,1,4,"SR22C-PS-FESHT-10"," ","FE22I SHUTTER","INTERLOCK","dup","no"," "," ",3
5,1,0,"SR22C-PS-IOC-02"," ","LOP1","FE22I PORT SHUTTER PERMIT","lop","yes"," "," ",4
6,2,3,"SR22C-PS-FESHT-11"," ","FE22B SHUTTER","INTERLOCK","dup","no"," "," ",2
7,2,4,"SR22C-PS-FESHT-12"," ","FE22B SHUTTER","INTERLOCK","dup","no"," "," ",6
8,2,0,"SR22C-PS-IOC-02"," ","LOP2","FE22B PORT SHUTTER PERMIT","lop","yes"," "," ",7
9,3,3,"SR22C-PS-FESHT-13"," ","FE23I SHUTTER","INTERLOCK","dup","no"," "," ",2
10,3,4,"SR22C-PS-FESHT-14"," ","FE23I SHUTTER","INTERLOCK","dup","no"," "," ",9
11,3,0,"SR22C-PS-IOC-02"," ","LOP3","FE23I PORT SHUTTER PERMIT","lop","yes"," "," ",10
12,4,3,"SR22C-PS-FESHT-15"," ","FE23B SHUTTER","INTERLOCK","dup","no"," "," ",2
13,4,4,"SR22C-PS-FESHT-16"," ","FE23B SHUTTER","INTERLOCK","dup","no"," "," ",12
14,4,0,"SR22C-PS-IOC-02"," ","LOP4","FE23B PORT SHUTTER PERMIT","lop","yes"," "," ",13
15,5,3,"SR22C-PS-FESHT-17"," ","FE24I SHUTTER","INTERLOCK","dup","no"," "," ",2
16,5,4,"SR22C-PS-FESHT-18"," ","FE24I SHUTTER","INTERLOCK","dup","no"," "," ",15
17,5,0,"SR22C-PS-IOC-02"," ","LOP5","FE24I PORT SHUTTER PERMIT","lop","yes"," "," ",16
18,6,3,"SR22C-PS-FESHT-19"," ","FE24B SHUTTER","INTERLOCK","dup","no"," "," ",2
19,6,4,"SR22C-PS-FESHT-20"," ","FE24B SHUTTER","INTERLOCK","dup","no"," "," ",18
20,6,0,"SR22C-PS-IOC-02"," ","LOP6","FE24B PORT SHUTTER PERMIT","lop","yes"," "," ",19
21,7,3,"SR22C-PS-FESHT-21"," ","FE01I SHUTTER","INTERLOCK","dup","no"," "," ",2
22,7,4,"SR22C-PS-FESHT-22"," ","FE01I SHUTTER","INTERLOCK","dup","no"," "," ",21
23,7,0,"SR22C-PS-IOC-02"," ","LOP7","FE01I PORT SHUTTER PERMIT","lop","yes"," "," ",22
24,8,3,"SR22C-PS-FESHT-23"," ","FE01B SHUTTER","INTERLOCK","dup","no"," "," ",2
25,8,4,"SR22C-PS-FESHT-24"," ","FE01B SHUTTER","INTERLOCK","dup","no"," "," ",24
26,8,0,"SR22C-PS-IOC-02"," ","LOP8","FE01B PORT SHUTTER PERMIT","lop","yes"," "," ",25
