"CVS Info: $Id: SR22C-PS-radiationOk.csv,v 1.2 2006/04/21 15:51:26 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,11,1,"SR22C-PS-RDMND-01"," ","RAD MON","SR22C ACCUM","serial","no"," ","now",0
2,11,2,"SR22C-PS-RDMNR-01"," ","RAD MON","SR22C RATE","serial","no"," ","now",1
3,10,1,"SR22C-PS-RDMND-02"," ","RAD MON","SPARE ACCUM","serial","no"," ","now",2
4,10,2,"SR22C-PS-RDMNR-02"," ","RAD MON","SPARE RATE","serial","no"," ","now",3
5,10,3,"SR22C-PS-RDMND-03"," ","RAD MON","SR23C ACCUM","serial","no"," ","now",4
6,10,4,"SR22C-PS-RDMNR-03"," ","RAD MON","SR23C RATE","serial","no"," ","now",5
7,12,1,"SR22C-PS-RDMND-04"," ","RAD MON","SR24C ACCUM","serial","no"," ","now",6
8,12,2,"SR22C-PS-RDMNR-04"," ","RAD MON","SR24C RATE","serial","no"," ","now",7
9,12,3,"SR22C-PS-RDMND-05"," ","RAD MON","SR01C-2 ACCUM","serial","no"," ","now",8
10,12,4,"SR22C-PS-RDMNR-05"," ","RAD MON","SR01C-2 RATE","serial","no"," ","now",9
11,12,0,"SR22C-PS-IOC-02"," ","LOP10","SR22C RAD OK","lop","yes"," "," ",10
